Phenotypic Series  - PS156200
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Intellectual developmental disorder, autosomal dominant - PS156200 - 64 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p36.11	Coffin-Siris syndrome 2	AD	3	614607	ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2	603024
1q21.3	White-Sutton syndrome	AD	3	616364	POGZ, KIAA0461, MRD37, WHSUS	614787
1q21.3	GAND syndrome	AD	3	615074	GATAD2B, KIAA1150, p68, GANDS	614998
1q22	Intellectual developmental disorder, autosomal dominant 52	AD	3	617796	ASH1L, KIAA1420, ASH1, MRD52	607999
1q44	Intellectual developmental disorder, autosomal dominant 22	AD	3	612337	ZBTB18, ZNF238, RP58, MRD22	608433
2p25.3	Intellectual developmental disorder, autosomal dominant 39	AD	3	616521	MYT1L, KIAA1106, MRD39	613084
2q11.2	?Intellectual developmental disorder, autosomal dominant 69		3	617863	LMAN2L, VIPL, MRT52, MRD69	609552
2q23.1	Intellectual developmental disorder, autosomal dominant 1	AD	3	156200	MBD5, KIAA1461, MRD1	611472
3p25.3	Intellectual developmental disorder, autosomal dominant 23	AD	3	615761	SETD5, KIAA1757, MRD23	615743
3q22.3	Intellectual developmental disorder, autosomal dominant 47	AD	3	617635	STAG1, MRD47	604358
3q26.32	Intellectual developmental disorder, autosomal dominant 41	AD	3	616944	TBL1XR1, TBLR1, IRA1, C21, MRD41	608628
3q27.1	Intellectual developmental disorder 60 with seizures	AD	3	618587	AP2M1, CLAPM1, MRD60	601024
4q31.1	Intellectual developmental disorder, autosomal dominant 50, with behavioral abnormalities	AD	3	617787	NAA15, NARG1, NATH, MRD50	608000
5p15.2	Intellectual developmental disorder, autosomal dominant 63, with macrocephaly	AD	3	618825	TRIO, MRD44, MRD63	601893
5p15.2	Intellectual developmental disorder, autosomal dominant 44, with microcephaly	AD	3	617061	TRIO, MRD44, MRD63	601893
5q13.3	Intellectual developmental disorder, autosomal dominant 34	AD	3	616351	COL4A3BP, GPBP, CERT, MRD34	604677
5q32	Intellectual developmental disorder, autosomal dominant 53	AD	3	617798	CAMK2A, KIAA0968, CAMKA, MRD53, MRT63	114078
5q33.2	Intellectual developmental disorder, autosomal dominant 67	AD	3	619927	GRIA1, GLUR1, MRD67, MRT76	138248
6p21.32	Intellectual developmental disorder, autosomal dominant 5	AD	3	612621	SYNGAP1, MRD5	603384
6p21.1	Intellectual developmental disorder, autosomal dominant 35	AD	3	616355	PPP2R5D, MRD35	601646
6q13	Intellectual developmental disorder, autosomal dominant 46	AD	3	617601	KCNQ5, MRD46	607357
6q14.3	Intellectual developmental disorder, autosomal dominant 64	AD	3	619188	ZNF292, ZFP292, KIAA0530, MRD64	616213
6q22.1	Intellectual developmental disorder, autosomal dominant 55, with seizures	AD	3	617831	NUS1, NGBR, C6orf68, CDG1AA, MRD55	610463
6q24.2	Intellectual developmental disorder, autosomal dominant 43	AD	3	616977	HIVEP2, MRD43	143054
6q25.3	Coffin-Siris syndrome 1	AD	3	135900	ARID1B, BAF250B, KIAA1235, MRD12, CSS1	614556
7p22.1	Intellectual developmental disorder, autosomal dominant 48	AD	3	617751	RAC1, MRD48	602048
7p13	Intellectual developmental disorder, autosomal dominant 54	AD	3	617799	CAMK2B, MRD54	607707
7q11.22	Intellectual developmental disorder, autosomal dominant 26	AD	3	615834	KIAA0442, MRD26, AUTS2	607270
7q36.2	Intellectual developmental disorder, autosomal dominant 33	AD	3	616311	DPP6, VF2, MRD33	126141
9p24	Intellectual developmental disorder, autosomal dominant 2	AD	4	614113	MRD2	614113
9q34.11	Intellectual developmental disorder, autosomal dominant 58	AD	3	618106	SET, MRD58	600960
9q34.3	Kleefstra syndrome 1	AD	3	610253	EHMT1, EUHMTASE1, KMT1D, DEL9q34, KLEFS1	607001
10p15.3	Intellectual developmental disorder, autosomal dominant 30	AD	3	616083	ZMYND11, BS69, BRAM1, MRD30	608668
10q22.2	Intellectual developmental disorder, autosomal dominant 59	AD	3	618522	CAMK2G, CAMKG, MRD59	602123
11p15.5	Vulto-van Silfout-de Vries syndrome	AD	3	615828	DEAF1, SPN, ZMYND5, VSVS, NEDHELS	602635
11q13.1	Coffin-Siris syndrome 7	AD	3	618027	DPF2, REQ, UBID4, CSS7	601671
11q13.1-q13.2	Schuurs-Hoeijmakers syndrome	AD	3	615009	PACS1, SHMS, MRD17	607492
11q13.2	Intellectual developmental disorder, autosomal dominant 51	AD	3	617788	KMT5B, SUV420H1, CGI85, MRD51	610881
11q24.2	Intellectual developmental disorder, autosomal dominant 4	AD	2	612581	MRD4	612581
12p13.1	Intellectual developmental disorder, autosomal dominant 6, with or without seizures	AD	3	613970	GRIN2B, NMDAR2B, MRD6, DEE27	138252
12q12	Coffin-Siris syndrome 6	AD	3	617808	ARID2, BAF200, KIAA1557, CSS6	609539
12q13.12	Intellectual developmental disorder, autosomal dominant, FRA12A type	AD	3	136630	DIP2B, KIAA1463	611379
12q13.2	Coffin-Siris syndrome 8	AD	3	618362	SMARCC2, BAF170, CSS8	601734
12q21.33	Intellectual developmental disorder, autosomal dominant 66	AD	3	619910	ATP2B1, PMCA1, MRD66	108731
14q32.31	Intellectual developmental disorder, autosomal dominant 13	AD	3	614563	DYNC1H1, DNCL, DNECL, CMT2O, MRD13, SMALED1	600112
