Phenotypic Series  - PS213300
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Joubert syndrome - PS213300 - 43 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p36.32	Joubert syndrome 25	AR	3	616781	CEP104, GLYBP, KIAA0562, JBTS25, MRT77	616690
2q13	Joubert syndrome 4	AR	3	609583	NPHP1, NPH1, SLSN1, JBTS4	607100
2q33.1	Joubert syndrome 14	AR	3	614424	TMEM237, ALS2CR4, JBTS14	614423
2q37.1	Joubert syndrome 30	AR	3	617622	ARMC9, KIAA1868, JBTS30	617612
2q37.1	Joubert syndrome 22	AR	3	615665	PDE6D, JBTS22	602676
3q11.1-q11.2	Joubert syndrome 8	AR	3	612291	ARL13B, ARL2L1, JBTS8	608922
4p15.32	Joubert syndrome 9	AR	3	612285	CC2D2A, KIAA1345, MKS6, COACH2, RP93	612013
5p13.2	Joubert syndrome 17	AR	3	614615	CPLANE1, C5orf42, JBTS17, OFD6	614571
5q23.2	Joubert syndrome 31	AR	3	617761	CEP120, CCDC100, SRTD13, JBTS31	613446
6q23.3	Joubert syndrome 3	AR	3	608629	AHI1	608894
7q32.2	Joubert syndrome 15	AR	3	614464	CEP41, TSGA14, JBTS15	610523
8q13.1-q13.2	Joubert syndrome 21	AR	3	615636	CSPP1, CSPP, JBTS21	611654
8q22.1	Joubert syndrome 6	AR	3	610688	TMEM67, MKS3, JBTS6, NPHP11	609884
9p21.2	Joubert syndrome 40	AR	3	619582	IFT74, CCDC2, CMG1, BBS22, JBTS40, SPGF58	608040
9q34.3	Joubert syndrome 1	AR	3	213300	INPP5E, MORMS, JBTS1, CORS1	613037
10q22.2	Joubert syndrome 36	AR	3	618763	FAM149B1, KIAA0974, JBTS36	618413
10q24.1	Joubert syndrome 18	AR	3	614815	TCTN3, TECT3, C10orf61, OFD4, JBTS18	613847
10q24.32	Joubert syndrome 32	AR	3	617757	SUFU, SUFUXL, SUFUH, JBTS32	607035
10q24.32	Joubert syndrome 35	AR	3	618161	ARL3, ARFL3, JBTS35, RP83	604695
11q12.2	Joubert syndrome 16	AR	3	614465	TMEM138, JBTS16	614459
11q12.2	Joubert syndrome 2	AR	3	608091	TMEM216, JBTS2, CORS2, MKS2	613277
11q24.2	Joubert syndrome 39	AR	3	619562	TMEM218, JBTS39	619285
12q21.32	Joubert syndrome 5	AR	3	610188	CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14	610142
12q24.11	Joubert syndrome 13	AR	3	614173	TECT1, JBTS13	609863
12q24.31	Joubert syndrome 24	AR	3	616654	TCTN2, TECT2, MKS8, JBTS24	613846
13q21.33-q22.1	Joubert syndrome 33	AR	3	617767	PIBF1, JBTS33	607532
14q21.2	Joubert syndrome 37	AR	3	619185	TOGARAM1, FAM179B, KIAA0423, JBTS37	617618
14q23.1	Joubert syndrome 23	AR	3	616490	KIAA0586, TALPID3, JBTS23, SRTD14	610178
15q26.1	Joubert syndrome 12	AR	3	200990	KIF7, HLS2, ACLS, JBTS12, AGBK	611254
15q26.1	Acrocallosal syndrome	AR	3	200990	KIF7, HLS2, ACLS, JBTS12, AGBK	611254
16p12.1	Joubert syndrome 26	AR	3	616784	KATNIP, KIAA0556	616650
16q12.1	Joubert syndrome 19	AD, AR	3	614844	ZNF423, ZFP423, OAZ, KIAA0760, NPHP14, JBTS19	604557
16q12.1	Nephronophthisis 14	AD, AR	3	614844	ZNF423, ZFP423, OAZ, KIAA0760, NPHP14, JBTS19	604557
16q12.2	Joubert syndrome 7	AR	3	611560	RPGRIP1L, KIAA1005, JBTS7, MKS5, COACH3	610937
16q23.1	Joubert syndrome 20	AR	3	614970	TMEM231, JBTS20, MKS11	614949
17p13.1	?Joubert syndrome 38	AR	3	619476	KIAA0753, OFIP, OFD15, JBTS38, SRTD21	617112
17p13.1	?Joubert syndrome 29	AR	3	617562	TMEM107, MKS13, JBTS29	616183
17p13.1	Meckel syndrome 13	AR	3	617562	TMEM107, MKS13, JBTS29	616183
17p11.2	Joubert syndrome 27	AR	3	617120	B9D1, MKSR1, MKS9, JBTS27	614144
17q22	Joubert syndrome 28	AR	3	617121	MKS1, MKS, BBS13, JBTS28	609883
19q13.2	Joubert syndrome 34	AR	3	614175	B9D2, MKS10, JBTS34	611951
19q13.2	?Meckel syndrome 10	AR	3	614175	B9D2, MKS10, JBTS34	611951
Xp22.2	Joubert syndrome 10	XLR	3	300804	OFD1, CXorf5, SGBS2, JBTS10, RP23	300170




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



