Phenotypic Series  - PS220290
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Deafness, autosomal recessive - PS220290 - 103 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p36.31-p36.13	Deafness, autosomal recessive 96	AR	2	614414	DFNB96	614414
1p36.31	Deafness, autosomal recessive 36	AR	3	609006	ESPN, USH1M	606351
1p36.31	Deafness, neurosensory, without vestibular involvement, autosomal dominant	AR	3	609006	ESPN, USH1M	606351
1p34.3	Deafness, digenic, GJB2/GJB3	AR, DD	3	220290	GJB3, CX31, DFNA2B, EKVP1	603324
1p31.3	?Deafness, autosomal recessive 108	AR	3	617654	ROR1, NTRKR1	602336
1p21.2	Deafness, autosomal recessive 32, with or without immotile sperm	AR	3	608653	CDC14A, DFNB32	603504
1q23.2	Enlarged vestibular aqueduct, digenic	AR	3	600791	KCNJ10, SESAME	602208
1q43-q44	Deafness, autosomal recessive 45	AR	2	612433	DFNB45	612433
2p25.1-p24.3	Deafness, neurosensory, autosomal recessive 47	AR	2	609946	DFNB47	609946
2p23.3	Deafness, autosomal recessive 9	AR	3	601071	OTOF, DFNB9, NSRD9, AUNB1	603681
2p23.3	Auditory neuropathy, autosomal recessive, 1	AR	3	601071	OTOF, DFNB9, NSRD9, AUNB1	603681
2p16.1	Deafness, autosomal recessive 70, with or without adult-onset neurodegeneration	AR	3	614934	PNPT1, OLD35, COXPD13, DFNB70, SCA25	610316
2p11.2	?Deafness, autosomal recessive 88	AR	3	615429	ELMOD3, RBED1, DFNB88, DFNA81	615427
2q23-q31	Deafness, autosomal recessive 27	AR	2	605818	DFNB27	605818
2q31.2	Deafness, autosomal recessive 59	AR	3	610220	PJVK, DFNB59	610219
3p25.3	{Deafness, autosomal recessive 12, modifier of}	AR	3	601386	ATP2B2, PMCA2, DFNA82	108733
3p21.31	Deafness, autosomal recessive 6	AR	3	600971	TMIE, DFNB6	607237
3q13.33	Deafness, autosomal recessive 42	AR	3	609646	ILDR1, DFNB42	609739
4p15.32	?Deafness, autosomal recessive 117	AR	3	619174	CLRN2, DFNB117	618988
4p13	Deafness, autosomal recessive 25	AR	3	613285	GRXCR1	613283
4q12-q13.2	Deafness, autosomal recessive 55	AR	2	609952	DFNB55	609952
4q31.21	?Deafness, autosomal recessive 26	AR	3	605428	GAB1, DFNB26	604439
5q13.2	Deafness, autosomal recessive 49	AR	3	610153	MARVELD2, MARVD2, TRIC, DFNB49	610572
5q13.2	?Deafness, autosomal recessive 112	AR	3	618257	BDP1, TFNR, DFNB112	607012
5q21.1	Deafness, autosomal recessive 100	AR	3	618422	PPIP5K2, HISPPD1, VIP2, KIAA0433, DFNB100	611648
5q32	?Deafness, autosomal recessive 101	AR	3	615837	GRXCR2, DFNB101	615762
5q35.1	Enlarged vestibular aqueduct	AR	3	600791	FOXI1, FKHL10, FREAC6	601093
6p25.2	?Deafness, autosomal recessive 91	AR	3	613453	SERPINB6, PI6, PTI, SPI3, DFNB91	173321
6p22.3	?Deafness, autosomal recessive 66	AR	3	610212	DCDC2, RU2, KIAA1154, NPHP19, DFNB66, NSC	605755
6p22.3	?Deafness, autosomal recessive 104	AR	3	616515	RIPOR2, FAM65B, C6orf32, KIAA0386, PL48, DFNB104, DFNA21	611410
6p21.32	Deafness, autosomal recessive 53	AR	3	609706	COL11A2, DFNA13, DFNB53, FBCG2, OSMEDA, OSMEDB	120290
