Phenotypic Series  - PS252010
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Mitochondrial complex I deficiency, nuclear type - PS252010 - 38 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1q23.3	Mitochondrial complex I deficiency, nuclear type 6	AR	3	618228	NDUFS2, MC1DN6	602985
2q33.1	Mitochondrial complex I deficiency, nuclear type 25	AR	3	618246	NDUFB3, MC1DN25	603839
2q33.3	Mitochondrial complex I deficiency, nuclear type 5	AR	3	618226	NDUFS1, MC1DN5	157655
2q37.3	Mitochondrial complex I deficiency, nuclear type 22	AR	3	618243	NDUFA10, MC1DN22	603835
3p21.31	Mitochondrial complex I deficiency, nuclear type 18	AR	3	618240	NDUFAF3, MC1DN18	612911
3q13.33	Mitochondrial complex I deficiency, nuclear type 31	AR	3	618251	TIMMDC1, C3orf1, MC1DN31	615534
3q21.3	Mitochondrial complex I deficiency, nuclear type 20	AR	3	611126	ACAD9, MC1DN20	611103
5p15.33	Mitochondrial complex I deficiency, nuclear type 9	AR	3	618232	NDUFS6, MC1DN9	603848
5q11.2	Mitochondrial complex I deficiency, nuclear type 1	AR	3	252010	NDUFS4, AQDQ, MC1DN1	602694
5q12.1	Mitochondrial complex I deficiency, nuclear type 10	AR	3	618233	NDUFAF2, NDUFA12L, MMTN, B17.2L, MC1DN10	609653
5q31.3	Mitochondrial complex I deficiency, nuclear type 13	AR	3	618235	NDUFA2, MC1DN13	602137
6q16.1	Mitochondrial complex I deficiency, nuclear type 15	AR	3	618237	NDUFAF4, HRPAP20, C6orf66, MC1DN15	611776
7q11.23	Leber hereditary optic neuropathy, autosomal recessive	AR	3	619382	DNAJC30, WBSCR18, LHONAR, MC1DN38	618202
8q22.1	Mitochondrial complex I deficiency, nuclear type 17	AR	3	618239	NDUFAF6, C8orf38, MC1DN17, FRTS5	612392
8q24.13	?Mitochondrial complex I deficiency, nuclear type 24	AR	3	618245	NDUFB9, UQOR22, MC1DN24	601445
9q33.2	Mitochondrial complex I deficiency, nuclear type 37	AR	3	619272	NDUFA8, MC1DN37	603359
10q24.31	Mitochondrial complex I deficiency, nuclear type 32	AR	3	618252	NDUFB8, MC1DN32	602140
11p11.2	Mitochondrial complex I deficiency, nuclear type 8	AR	3	618230	NDUFS3, MC1DN8	603846
11q13.2	Mitochondrial complex I deficiency, nuclear type 4	AR	3	618225	NDUFV1, UQOR1, MC1DN4	161015
11q13.2	Mitochondrial complex I deficiency, nuclear type 2	AR	3	618222	NDUFS8, MC1DN2	602141
11q14.1	Mitochondrial complex I deficiency, nuclear type 36	AR	3	619170	NDUFC2, MC1DN36	603845
11q14.1	Mitochondrial complex I deficiency, nuclear type 29	AR	3	618250	TMEM126B, MC1DN29	615533
11q24.2	Mitochondrial complex I deficiency, nuclear type 19	AR	3	618241	FOXRED1, MC1DN19	613622
12p13.32	Mitochondrial complex I deficiency, nuclear type 26	AR	3	618247	NDUFA9, MC1DN26	603834
12q22	Mitochondrial complex I deficiency, nuclear type 23	AR	3	618244	NDUFA12, MC1DN23	614530
14q12	Mitochondrial complex I deficiency, nuclear type 21	AR	3	618242	NUBPL, IND1, MC1DN21	613621
15q15.1	Mitochondrial complex I deficiency, nuclear type 11	AR	3	618234	NDUFAF1, CIA30, CGI65, MC1DN11	606934
15q22.31	Mitochondrial complex I deficiency, nuclear type 27	AR	3	618248	MTFMT, COXPD15, MC1DN27	611766
16p13.3	?Mitochondrial complex I deficiency, nuclear type 35	AR	3	619003	NDUFB10, MC1DN35	603843
17q25.3	Mitochondrial complex I deficiency, nuclear type 34	AR	3	618776	NDUFAF8, C17orf89, MC1DN34	618461
18p11.22	Mitochondrial complex I deficiency, nuclear type 7	AR	3	618229	NDUFV2, MC1DN7	600532
19p13.3	Mitochondrial complex I deficiency, nuclear type 3	AR	3	618224	NDUFS7, PSST, MC1DN3	601825
19p13.3	Mitochondrial complex I deficiency, nuclear type 14	AR	3	618236	NDUFA11, MC1DN14	612638
19p13.11	?Mitochondrial complex I deficiency, nuclear type 28	AR	3	618249	NDUFA13, GRIM19, MC1DN28	609435
20p12.1	Mitochondrial complex I deficiency, nuclear type 16	AR	3	618238	NDUFAF5, C20orf7, MC1DN16	612360
22q13.2	Mitochondrial complex I deficiency, nuclear type 33	AR	3	618253	NDUFA6, MC1DN33	602138
Xp11.3	?Mitochondrial complex I deficiency, nuclear type 30	XL	3	301021	NDUFB11, LSDMCA3, MC1DN30	300403
Xq24	Mitochondrial complex I deficiency, nuclear type 12	XLR	3	301020	NDUFA1, MWFE, MC1DN12	300078




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



