Phenotypic Series  - PS258150
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Spermatogenic failure - PS258150 - 84 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p31.1	Spermatogenic failure 2	AR	3	108420	MSH4, POF20, SPGF2	602105
1p22.1	?Spermatogenic failure 21	AR	3	617644	BRDT, SPGF21	602144
1p12	?Spermatogenic failure 55	AR	3	619380	SPAG17, PF6, SPGF55	616554
2p13.1	Spermatogenic failure 48	AR	3	619108	M1AP, SPATA37, C2orf65, SPGF48	619098
2q11.2	?Spermatogenic failure 26	AR	3	617961	TSGA10, SPGF26	607166
2q32.1	Spermatogenic failure 34	AR	3	618153	FSIP2, SPGF34	615796
2q33.1	?Spermatogenic failure 68	AR	3	619805	C2CD6, ALS2CR11, SPGF68	619776
2q35	?Spermatogenic failure 54	AR	3	619379	CATIP, C2orf62	619387
2q35	Spermatogenic failure 40	AR	3	618664	CFAP65, CCDC108, SPGF40	614270
3p22.2	Spermatogenic failure 37	AR	3	618429	TTC21A, STI2, SPGF37	611430
3p21.1	Spermatogenic failure 18	AR	3	617576	DNAH1, HL11, DNAHC1, HDHC7, SPGF18, CILD37	603332
3q13.2	Spermatogenic failure 20	AR	3	617593	CFAP44, WDR52, SPGF20	617559
3q13.33	Spermatogenic failure 51	AR	3	619177	CFAP91, MAATS1, AAT1, C3orf15, SPGF51	609910
3q26.31	?Spermatogenic failure 6	AR	3	102530	SPATA16, SPGF6	609856
4p16.3	?Spermatogenic failure 62	AR	3	619673	RNF212, ZHP3, SPGF62	612041
4p14	?Spermatogenic failure 72	AR	3	619867	WDR19, SRTD5, ATD5, NPHP13, CED4, SPGF72	608151
4q12	?Spermatogenic failure 29	AR	3	618091	SPINK2, SPGF29	605753
4q22.3	Spermatogenic failure 70	AR	3	619828	PDHA2, SPGF70	179061
4q31.22	Spermatogenic failure 42	AR	3	618745	TTC29, SPGF42	618735
5p13.2	Spermatogenic failure 43	AR	3	618751	SPEF2, KPL2, KIAA1770, SPGF43	610172
6p21.33	Spermatogenic failure 74	AR	3	619937	MSH5, POF13, SPGF74	603382
6p21.31	Spermatogenic failure 3	AD, AR	3	606766	SLC26A8, TAT1, SPGF3	608480
6p21.2	Spermatogenic failure 46	AR	3	619095	DNAH8, HDHC9, SPGF46	603337
6q21	Spermatogenic failure 38	AR	3	618433	ARMC2, SPGF38	618424
6q25.3	Spermatogenic failure 57	AR	3	619528	PNLDC1, TRIMMER, SPGF57	619529
7p12.2	?Spermatogenic failure 66	AR	3	619799	ZPBP, SP38, SPGF66	608498
7q11.23	Spermatogenic failure 77	AR	3	620103	FKBP6, SPGF77	604839
7q21.13	Spermatogenic failure 24	AR	3	617959	CFAP69, C7orf63, SPGF24	617949
7q22.1	Spermatogenic failure 61	AR	3	619672	STAG3, POF8, SPGF61	608489
