Phenotypic Series  - PS268000
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Retinitis pigmentosa - PS268000 - 98 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p36.11	Retinitis pigmentosa 59	AR	3	613861	DHDDS, HDS, RP59, DEDSM	608172
1p36.11	?Congenital disorder of glycosylation, type 1bb	AR	3	613861	DHDDS, HDS, RP59, DEDSM	608172
1p34.1	Retinitis pigmentosa 76	AR	3	617123	POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76, LGMDR15	606822
1p31.3	Retinitis pigmentosa 20	AR	3	613794	RPE65, RP20, LCA2	180069
1p31.3	Retinitis pigmentosa 87 with choroidal involvement	AD	3	618697	RPE65, RP20, LCA2	180069
1p22.1	Retinitis pigmentosa 19	AR	3	601718	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	601691
1p13.3	Retinitis pigmentosa 32	AR	3	609913	CLCC1, MCLC, RP32	617539
1q21.2	Retinitis pigmentosa 18	AD	3	601414	PRPF3, HPRP3, RP18	607301
1q22	Retinitis pigmentosa 35	AD, AR	3	610282	SEMA4A, SEMB, RP35, CORD10	607292
1q31.3	Retinitis pigmentosa-12	AR	3	600105	CRB1, RP12, LCA8	604210
1q32.3	?Retinitis pigmentosa 67	AR	3	615565	NEK2, RP67	604043
1q41	Retinitis pigmentosa 39		3	613809	USH2A, RP39	608400
2p23.3	Retinitis pigmentosa 75	AR	3	617023	AGBL5, CCP5, RP75	615900
2p23.3	?Retinitis pigmentosa 58	AR	3	613617	ZNF513, RP58	613598
2p23.3	Retinitis pigmentosa 71	AR	3	616394	IFT172, SLB, KIAA1179, SRTD10, RP71, BBS20	607386
2p23.2	Retinitis pigmentosa 54		3	613428	PCARE, C2orf71, RP54	613425
2p15	Retinitis pigmentosa 28		3	606068	FAM161A, RP28	613596
2q11.2	Retinitis pigmentosa 33	AD	3	610359	SNRNP200, ASCC3L1, KIAA0788, RP33	601664
2q13	Retinitis pigmentosa 38	AR	3	613862	MERTK, RP38	604705
2q31.3	Retinitis pigmentosa 26	AR	3	608380	CERKL, RP26	608381
2q37.1	Retinitis pigmentosa 47		3	613758	SAG, RP47	181031
3q11.2	Retinitis pigmentosa 55	AR	3	613575	ARL6, BBS3, RP55	608845
3q12.3	Retinitis pigmentosa 56	AR	3	613581	IMPG2, IPM200, RP56, VMD5	607056
3q22.1	Retinitis pigmentosa 4, autosomal dominant or recessive	AD, AR	3	613731	RHO, RP4, OPN2, CSNBAD1	180380
3q25.1	Retinitis pigmentosa 61		3	614180	CLRN1, USH3A, USH3, RP61	606397
3q26.2	Retinitis pigmentosa 68	AR	3	615725	SLC7A14, KIAA1613, RP68	615720
4p16.3	Retinitis pigmentosa-40	AR	3	613801	PDE6B, PDEB, RP40, CSNBAD2	180072
4p15.32	Retinitis pigmentosa 93	AR	3	619845	CC2D2A, KIAA1345, MKS6, COACH2, RP93	612013
4p15.32	Retinitis pigmentosa 41	AR	3	612095	PROM1, PROML1, AC133, RP41, CORD12, CD133, MCDR2, STGD4	604365
4p12	Retinitis pigmentosa 49		3	613756	CNGA1, CNCG1, RP49	123825
4q32-q34	Retinitis pigmentosa 29	AR	2	612165	RP29	612165
5q32	Retinitis pigmentosa 43		3	613810	PDE6A, PDEA, RP43	180071
