Phenotypic Series  - PS308350
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Developmental and epileptic encephalopathy - PS308350 - 109 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p34.2	Developmental and epileptic encephalopathy 18	AR	3	615476	SZT2, KIAA0467, DEE18	615463
1p34.1	Developmental and epileptic encephalopathy 15	AR	3	615006	ST3GAL3, SIAT6, ST3GALII, MRT12, DEE15	606494
1p32.3	Developmental and epileptic encephalopathy 75	AR	3	618437	PARS2, DEE75	612036
1p31.3	Developmental and epileptic encephalopathy 23	AR	3	615859	DOCK7, KIAA1771, DEE23	615730
1p13.3	Developmental and epileptic encephalopathy 32	AD	3	616366	KCNA2, DEE32	176262
1q23.2	Developmental and epileptic encephalopathy 98	AD	3	619605	ATP1A2, FHM2, MHP2, FARIMPD, DEE98	182340
1q25.3	Developmental and epileptic encephalopathy 69	AD	3	618285	CACNA1E, CACNL1A6, DEE69	601013
1q31.3	Developmental and epileptic encephalopathy 57	AD	3	617771	KCNT2, SLICK, DEE57	610044
1q42.11	Developmental and epileptic encephalopathy 100	AD	3	619777	FBXO28, FBX28, KIAA0483, DEE100	609100
1q42.2	Developmental and epileptic encephalopathy 38	AR	3	617020	ARV1, DEE38	611647
1q44	Developmental and epileptic encephalopathy 54	AD	3	617391	HNRNPU, HNRPU, SAFA, DEE54	602869
2p23.3	Developmental and epileptic encephalopathy 50	AR	3	616457	CAD, CDG1Z, DEE50	114010
2p15	?Developmental and epileptic encephalopathy 88	AR	3	618959	MDH1, DEE88, KAR	154200
2p15	Developmental and epileptic encephalopathy 83	AR	3	618744	UGP2, UGPP2, DEE83	191760
2q24.3	Developmental and epileptic encephalopathy 62	AD	3	617938	SCN3A, FFEVF4, DEE62	182391
2q24.3	Developmental and epileptic encephalopathy 11	AD	3	613721	SCN2A, SCN2A1, BFIC3, DEE11, BFIS3, BFNIS, EA9	182390
2q24.3	Developmental and epileptic encephalopathy 6B, non-Dravet	AD	3	619317	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B	182389
2q24.3	Dravet syndrome	AD	3	607208	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B	182389
2q31.1	Developmental and epileptic encephalopathy 89	AR	3	619124	GAD1, SCP, DEE89	605363
2q31.1	Developmental and epileptic encephalopathy 39	AR	3	612949	SLC25A12, ARALAR, DEE39	603667
2q32.2	Developmental and epileptic encephalopathy 71	AR	3	618328	GLS, GLS1, DEE71, CASGID, GDPAG	138280
3p22.1	Developmental and epileptic encephalopathy 68	AR	3	618201	TRAK1, OIP106, KIAA1042, DEE68	608112
3p21.31	?Developmental and epileptic encephalopathy 86	AR	3	618910	DALRD3, DEE86	618904
3p21.31	Developmental and epileptic encephalopathy 102	AR	3	619881	SLC38A3, SN1, G17, DEE102	604437
