Phenotypic Series  - PS309510
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Intellectual developmental disorder, X-linked syndromic - PS309510 - 54 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
Xp22.2	Raynaud-Claes syndrome	XLD	3	300114	CLCN4, MRX49, MRX15, MRXSRC	302910
Xp22.2	Basilicata-Akhtar syndrome	XLD	3	301032	MSL3, MSL3L1, MRXSBA	300609
Xp22.2	Intellectual developmental disorder, X-linked syndromic, Pilorge type	XL	3	301076	GLRA2, MRXSP	305990
Xp22.2	Pettigrew syndrome	XLR	3	304340	AP1S2, MRX59, MRXSF, MRXS21, MRXS5, PGS	300629
Xp22.12	Intellectual developmental disorder, X-linked syndromic, Houge type	XL	3	301008	CNKSR2, CNK2, KIAA0902, MRXSHG	300724
Xp22.11	Intellectual developmental disorder, X-linked syndromic, Snyder-Robinson type	XLR	3	309583	SMS, SRS, MRXSSR	300105
Xp22.11	MEHMO syndrome	XLR	3	300148	EIF2S3, EIF2G, MEHMO, MRXSBRK	300161
Xp22.11-p21.3	Van Esch-O'Driscoll syndrome	XLR	3	301030	POLA1, VEODS	312040
Xp21.3	Partington syndrome	XLR	3	309510	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32	300382
Xp21.1-p11.23	Intellectual developmental disorder, X-linked syndromic 17	XLR	2	300858	MRXS17	300858
Xp11	?Intellectual developmental disorder, X-linked syndromic 12	XL	2	309545	MRXS12	309545
Xp11-q21	Prieto syndrome	XLR	2	309610	PRS, MRXS2	309610
Xp11.4	Intellectual developmental disorder, X-linked syndromic, Hedera type	XLR	3	300423	ATP6AP2, ATP6M8-9, XMRE, MRXSH, XPDS, CDG2R	300556
Xp11.4	Intellectual developmental disorder, X-linked syndromic, Snijders Blok type	XLD, XLR	3	300958	DDX3X, DDX3, DBX, MRX102, MRXSSB	300160
Xp11.4	Intellectual developmental disorder and microcephaly with pontine and cerebellar hypoplasia	XLD	3	300749	CASK, MICPCH, FGS4, CMG, MRXSNA	300172
Xp11.3-q22	Intellectual developmental disorder, X-linked syndromic 7	XL	2	300218	MRXS7	300218
Xp11.2	Intellectual developmental disorder, X-linked, syndromic, Stocco dos Santos type	XL	2	300434	SDSX, MRXSDS	300434
Xp11.23	Renpenning syndrome	XLR	3	309500	PQBP1, NPW38, SHS, MRX55, MRXS3, RENS1, MRXS8	300463
Xp11.22	Intellectual developmental disorder, X-linked syndromic, Claes-Jensen type	XLR	3	300534	KDM5C, JARID1C, SMCX, DXS1272E, XE169, MRXSCJ	314690
Xp11.22	Intellectual developmental disorder, X-linked syndromic, Turner type	XL	3	309590	HUWE1, UREB1, KIAA0312, LASU1, MRXST	300697
Xp11.22	Intellectual developmental disorder, X-linked syndromic, Siderius type	XLR	3	300263	PHF8, ZNF422, KIAA1111, MRXSSD	300560
Xp11.22	Aarskog-Scott syndrome	XLR	3	305400	FGD1, FGDY, AAS, MRXS16	300546
Xp11.22	Intellectual developmental disorder, X-linked syndromic 16	XLR	3	305400	FGD1, FGDY, AAS, MRXS16	300546
Xq11.2	Wieacker-Wolff syndrome	XLR	3	314580	ZC4H2, KIAA1166, WRWF, MRXS4, WRWFFR	300897
Xq12-q21.31	Intellectual developmental disorder, X-linked syndromic 9		2	300709	MRXS9	300709
Xq12	Wilson-Turner syndrome	XLR	3	309585	LAS1L, MRXSWTS	300964
Xq12	Intellectual developmental disorder, X-linked syndromic, Billuart type	XLR	3	300486	OPHN1, MRXSBL	300127
Xq13-q21	Martin-Probst syndrome	XLR	2	300519	MRXSMP	300519
Xq13.1	?Corpus callosum, agenesis of, with impaired intellectual development, ocular coloboma and micrognathia	XLR	3	300472	IGBP1, MRXS28	300139
Xq13.1	Lujan-Fryns syndrome	XLR	3	309520	MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX, HDKR	300188
Xq13.1	Intellectual developmental disorder, X-linked syndromic 34	XL	3	300967	NONO, NRB54, MRXS34	300084
Xq13.1	Intellectual developmental disorder, X-linked syndromic 33	XLR	3	300966	TAF1, TAF2A, CCG1, BA2R, DYT3, MRXS33	313650
Xq13.2	Intellectual developmental disorder, X-linked syndromic, Abidi type	XL	2	300262	MRXSAB	300262
Xq13.2	Tonne-Kalscheuer syndrome	XL	3	300978	RLIM, RNF12, TOKAS	300379
Xq21.33-q23	Intellectual developmental disorder, X-linked syndromic, Chudley-Schwartz type	XLR	2	300861	MRXSCS	300861
Xq22.1	Intellectual developmental disorder, X-linked syndromic, Bain type	XLD	3	300986	HNRNPH2, NRPH2, MRXSB	300610
Xq22.3	Arts syndrome	XLR	3	301835	PRPS1, CMTX5, DFNX1, DFN2	311850
Xq24	Intellectual developmental disorder, X-linked syndromic, Nascimento type	XLR	3	300860	UBE2A, RAD6A, MRXSN, MRXS30	312180
Xq24	Intellectual developmental disorder, X-linked syndromic 14	XLR	3	300676	UPF3B, RENT3B, MRXS14	300298
Xq24	Intellectual developmental disorder, X-linked syndromic, Hackman-Di Donato type	XLR	3	301039	NKAP, MRXSHD	300766
Xq24	Intellectual developmental disorder, X-linked syndromic, Cabezas type	XLR	3	300354	CUL4B, MRXSC, MRXHF2, SFM2, MRXS15	300304
Xq25	Intellectual developmental disorder, X-linked syndromic, Wu type	XLR	3	300699	GRIA3, GLUR3, MRXSW	305915
Xq26.1	Intellectual developmental disorder, X-linked syndromic, Raymond type	XL	3	300799	ZDHHC9, DHHC9, MRXSR	300646
Xq26.2	?Paganini-Miozzo syndrome	XLR	3	301025	HS6ST2, MRXSPM	300545
Xq26.2	Borjeson-Forssman-Lehmann syndrome	XLR	3	301900	PHF6, BFLS	300414
Xq26.3	Intellectual developmental disorder, X-linked syndromic, Christianson type	XL	3	300243	SLC9A6, NHE6, MRXSCH	300231
Xq26.3	?Intellectual developmental disorder, X-linked syndromic 11, Shashi type	XLR	3	300238	RBMX, MRXS11	300199
Xq27.3	Fragile X syndrome	XLD	3	300624	FMR1, FRAXA, POF1	309550
Xq28	Intellectual developmental disorder, X-linked 109	XLR	3	309548	AFF2, FMR2, FRAXE, XLID109	300806
Xq28	Intellectual developmental disorder, X-linked syndromic 13	XLR	3	300055	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13	300005
Xq28	Intellectual developmental disorder, X-linked syndromic, Lubs type	XLR	3	300260	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13	300005
Xq28	Intellectual developmental disorder, X-linked syndromic 35	XLR	3	300998	RPL10, DXS648, QM, AUTSX5, MRXS35	312173
Xq28	Intellectual developmental disorder, X-linked syndromic, Armfield type	XLR	3	300261	FAM50A, DXS9928E, HXC26, MRXSA	300453
Xq28	?Intellectual developmental disorder, X-linked syndromic 32	XLR	3	300886	CLIC2, XAP121, MRXS32	300138




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



