Phenotypic Series  - PS309530
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Intellectual developmental disorder, nonsyndromic, X-linked - PS309530 - 49 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
Xp22.3	Intellectual developmental disorder, X-linked 2	XL	2	300428	XLID2, MRX2	300428
Xp22.2	Intellectual developmental disorder, X-linked 73	XLR	2	300355	XLID73, MRX73	300355
Xp22.2	Intellectual developmental disorder, X-linked 104	XL	3	300983	FRMPD4, PRESO, KIAA0316, XLID104	300838
Xp22.12	Intellectual developmental disorder, X-linked 19	XLD	3	300844	RPS6KA3, RSK2, XLID19	300075
Xp22.11	Intellectual developmental disorder, X-linked 103	XLR	3	300982	KLHL15, KIAA1677, XLID103	300980
Xp21.3	Intellectual developmental disorder, X-linked 29	XLR	3	300419	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32	300382
Xp21.3-p21.2	Intellectual developmental disorder, X-linked 21	XLR	3	300143	IL1RAPL1, IL1R8, MRX21, MRX34	300206
Xp11-q21	Intellectual developmental disorder, X-linked 20	XL	2	300047	XLID20, MRX20	300047
Xp11.4	Intellectual developmental disorder, X-linked 58	XLR	3	300210	TSPAN7, TM4SF2, MXS1, A15, XLID58	300096
Xp11.4	Intellectual developmental disorder, X-linked 99, syndromic, female-restricted	XLD	3	300968	USP9X, DFFRX, XLID99, MRXS99F	300072
Xp11.4	Intellectual developmental disorder, X-linked 99	XLR	3	300919	USP9X, DFFRX, XLID99, MRXS99F	300072
Xp11.3-q13.3	Intellectual developmental disorder, X-linked 14	XL	2	300062	XLID14, MRX14	300062
Xp11.3-p11.21	Intellectual developmental disorder, X-linked 45	XL	2	300498	XLID45, MRX45	300498
Xp11.3-q22.3	Intellectual developmental disorder, X-linked 84	XLR	2	300505	XLID84, MRX84	300505
Xp11.3	Intellectual developmental disorder, X-linked 89	XLD	2	300848	XLID89, MRX89	300848
Xp11.3	Intellectual developmental disorder, X-linked 92	XLR	2	300851	XLID92, MRX92	300851
Xp11.3	Intellectual developmental disorder, X-linked 108	XLR	3	301024	SLC9A7, NHE7, MRX108	300368
Xp11.3-p11.23	Intellectual developmental disorder, X-linked 50	XL	3	300115	SYN1, EPILX1, MRX50	313440
Xp11.2-q12	Intellectual developmental disorder, X-linked 81	XLR	2	300433	XLID81, MRX81	300433
Xp11.23	Intellectual developmental disorder, X-linked 9	XLR	3	309549	FTSJ1, JM23, SPB1, MRX44, MRX9, XLID9	300499
Xp11.23	Intellectual developmental disorder, X-linked 96	XLR	3	300802	SYP, XLID96	313475
Xp11.23	Intellectual developmental disorder, X-linked 105	XLR	3	300984	USP27X, USP22L, XLID105	300975
Xp11.22	Xp11.22 microduplication syndrome		4	300705	DUPXp11.22, MRX17, MRX31	300705
Xp11.22	Intellectual developmental disorder, X-linked 1	XLD	3	309530	IQSEC2, KIAA0522, MRX1, MRX78, XLID1	300522
Xq12-q21.3	Intellectual developmental disorder, X-linked 77	XLR	2	300454	XLID77, MRX77	300454
Xq13.1	?Intellectual developmental disorder, X-linked 100	XLR	3	300923	KIF4A, KIF4, XLID100	300521
Xq13.1	Intellectual developmental disorder, X-linked 90	XLR	3	300850	DLG3, NEDLG, SAP102, XLID90	300189
Xq13.1	Intellectual developmental disorder, X-linked 106	XLR	3	300997	OGT, XLID106	300255
Xq13.2	Tonne-Kalscheuer syndrome	XL	3	300978	RLIM, RNF12, TOKAS	300379
Xq13.3	Intellectual developmental disorder, X-linked 91	XLD	4	300577	XLID91, MRX91	300577
Xq13.3	Intellectual developmental disorder, X-linked 98	XLD	3	300912	NEXMIF, KIAA2022, XLID98	300524
Xq21.1	Intellectual developmental disorder, X-linked 93	XLR	3	300659	BRWD3, MRX93, XLID93	300553
Xq21.1	Intellectual developmental disorder, X-linked 97	XL	3	300803	ZNF711, ZNF6, CMPX1, XLID97	314990
Xq22.2-q26	Intellectual developmental disorder, X-linked 53	XLR	2	300324	XLID53, MRX53	300324
Xq22.3	?Intellectual developmental disorder, X-linked 101	XLR	3	300928	MID2, XLID101	300204
Xq23-q24	Intellectual developmental disorder, X-linked 23	XL	2	300046	XLID23, MRX23	300046
Xq23	Intellectual developmental disorder, X-linked 63	XLD	3	300387	ACSL4, FACL4, ACS4, XLID63	300157
Xq23	Intellectual developmental disorder, X-linked 30	XLR	3	300558	PAK3, MRX30, MRX47, XLID30	300142
Xq24-q25	Intellectual developmental disorder, X-linked 82	XLR	2	300518	XLID82, MRX82	300518
Xq24	Intellectual developmental disorder, X-linked 88	XL	2	300852	XLID88, MRX88	300852
Xq24	?Intellectual developmental disorder, X-linked 107	XL	3	301013	STEEP1, CXorf56, XLID107	301012
Xq25-q26	Intellectual developmental disorder, X-linked 46	XLR	2	300436	XLID46, MRX46	300436
Xq25	Intellectual developmental disorder, X-linked syndromic, Wu type	XLR	3	300699	GRIA3, GLUR3, MRXSW	305915
Xq25	Intellectual developmental disorder, X-linked 12	XLR	3	300957	THOC2, THO2, XLID12	300395
Xq26	Intellectual developmental disorder, X-linked 42		2	300372	XLID42, MRX42	300372
Xq28	Methylmalonic aciduria and homocysteinemia, cblX type	XLR	3	309541	HCFC1, HCF1, MAHCX, XLID3	300019
Xq28	Intellectual developmental disorder, X-linked 41	XLD	3	300849	GDI1, RABGD1A, MRX41, MRX48, XLID41	300104
Xq28	Intellectual developmental disorder, X-linked 72	XLR	3	300271	RAB39B, XLID72, WSMN, MRX72	300774
Chr.X	Intellectual developmental disorder, X-linked 95	XLD	2	300716	XLID95, MRX95	300716




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



