Phenotypic Series  - PS609060
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Combined oxidative phosphorylation deficiency - PS609060 - 54 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p34.2	Combined oxidative phosphorylation deficiency 35	AR	3	617873	TRIT1, IPT, COXPD35	617840
1q21.2	Combined oxidative phosphorylation deficiency 21	AR	3	615918	TARS2, COXPD21	612805
1q25.1	?Combined oxidative phosphorylation deficiency 38	AR	3	618378	MRPS14, COXPD38	611978
2p16.1	Combined oxidative phosphorylation deficiency 13	AR	3	614932	PNPT1, OLD35, COXPD13, DFNB70, SCA25	610316
2p11.2	?Combined oxidative phosphorylation deficiency 51	AR	3	619057	PTCD3, COXPD51	614918
2q33.1	?Combined oxidative phosphorylation deficiency 25	AR	3	616430	MARS2, SPAX3, COXPD25	609728
2q33.1	Combined oxidative phosphorylation deficiency 53	AR	3	619423	C2orf69, COXPD53	619219
2q33.3	Combined oxidative phosphorylation deficiency 44	AR	3	618855	FASTKD2, KIAA0971, COXPD44	612322
2q36.1	Combined oxidative phosphorylation deficiency 16	AR	3	615395	MRPL44, COXPD16	611849
3p25.1	?Combined oxidative phosphorylation deficiency 50	AR	3	619025	MRPS25, COXPD50	611987
3p14.1	Combined oxidative phosphorylation deficiency 28	AR	3	616794	SLC25A26, SAMC, COXPD28	611037
3q11.2	Combined oxidative phosphorylation deficiency 48	AR	3	619012	NSUN3, COXPD48	617491
3q12.3	Combined oxidative phosphorylation deficiency 30	AR	3	616974	TRMT10C, RG9MTD1, MRPP1, COXPD30	615423
3q22.1	Combined oxidative phosphorylation deficiency 9	AR	3	614582	MRPL3, MRL3, COXPD9	607118
3q23	Combined oxidative phosphorylation deficiency 5	AR	3	611719	MRPS22, C3orf5, COXPD5, ODG7	605810
3q25.32	Combined oxidative phosphorylation deficiency 1	AR	3	609060	GFM1, EFG1, GFM, COXPD1	606639
4q31.3	?Combined oxidative phosphorylation deficiency 41	AR	3	618838	GATB, PET112, COXPD41	603645
5q13.3	Combined oxidative phosphorylation deficiency 39	AR	3	618397	GFM2, EFG2, RRF	606544
6p25.1	?Combined oxidative phosphorylation deficiency 19	AR	3	615595	LYRM4, ISD11, C6orf149, COXPD19	613311
6p25.1	Combined oxidative phosphorylation deficiency 14	AR	3	614946	FARS2, FARS1, COXPD14, SPG77	611592
6p21.33	Combined oxidative phosphorylation deficiency 20	AR	3	615917	VARS2, KIAA1885, COXPD20	612802
6p21.1	Combined oxidative phosphorylation deficiency 8	AR	3	614096	AARS2, KIAA1270, MTALARS, COXPD8, LKENP	612035
6q13	Combined oxidative phosphorylation deficiency 10	AR	3	614702	MTO1, COXPD10	614667
6q21	Combined oxidative phosphorylation deficiency 40	AR	3	618835	QRSL1, GATA, COXPD40	617209
6q25.1	Combined oxidative phosphorylation deficiency 11	AR	3	614922	RMND1, COXPD11	614917
8q21.13	?Combined oxidative phosphorylation deficiency 47	AR	3	618958	MRPS28, MRPS35, COXPD47	611990
9q34.3	Combined oxidative phosphorylation deficiency 36	AR	3	617950	MRPS2, COXPD36	611971
10q22.2	Combined oxidative phosphorylation deficiency 2	AR	3	610498	MRPS16, COXPD2	609204
10q26.11	Combined oxidative phosphorylation deficiency 18	AR	3	615578	SFXN4, COXPD18	615564
11q14.1	Combined oxidative phosphorylation deficiency 24	AR	3	616239	NARS2, COXPD24, DFNB94	612803
12q14.1	Combined oxidative phosphorylation deficiency 3	AR	3	610505	TSFM, COXPD3	604723
12q24.31	Combined oxidative phosphorylation deficiency 42	AR	3	618839	GATC, COXPD42	617210
12q24.31	Combined oxidative phosphorylation deficiency 7	AR	3	613559	MTRFR, C12orf65, COXPD7, SPG55	613541
13q12.12	Combined oxidative phosphorylation deficiency 31	AR	3	617228	MIPEP, COXPD31	602241
13q34	Combined oxidative phosphorylation deficiency 27	AR	3	616672	CARS2, COXPD27	612800
14q13.2	Combined oxidative phosphorylation deficiency 54	AR	3	619737	PRORP, KIAA0391, COXPD54	609947
14q23.1	Peripheral neuropathy with variable spasticity, exercise intolerance, and developmental delay	AR	3	616539	TRMT5, TRM5, KIAA1393, PNSED	611023
15q22.31	Combined oxidative phosphorylation deficiency 15	AR	3	614947	MTFMT, COXPD15, MC1DN27	611766
16p13.3	Combined oxidative phosphorylation deficiency 32	AR	3	617664	MRPS34, MRPS12, COXPD32	611994
16p12.2	Combined oxidative phosphorylation deficiency 12	AR	3	614924	EARS2, KIAA1970, COXPD12	612799
16p11.2	Combined oxidative phosphorylation deficiency 4	AR	3	610678	TUFM, EFTU, COXPD4	602389
17p13.3	?Combined oxidative phosphorylation deficiency 43	AR	3	618851	TIMM22, TIM22, COXPD43	607251
17p13.2	Combined oxidative phosphorylation deficiency 33	AR	3	617713	C1QBP, HABP1, COXPD33	601269
17p12	Combined oxidative phosphorylation deficiency 17	AR	3	615440	ELAC2, HPC2, COXPD17	605367
17p11.2	?Combined oxidative phosphorylation deficiency 49	AR	3	619024	MEIF2, SMCR7, MID49, COXPD49	615498
17q22	?Combined oxidative phosphorylation deficiency 46	AR	3	618952	MRPS23, COXPD46	611985
17q25.1	?Combined oxidative phosphorylation deficiency 34	AR	3	617872	MRPS7, COXPD34	611974
17q25.3	?Combined oxidative phosphorylation deficiency 45	AR	3	618951	MRPL12, RPML12	602375
18q21.1	?Combined oxidative phosphorylation deficiency 22	AR	3	616045	ATP5F1A, ATP5A1, ATPM, ATP5A, ORM, MC5DN4, COXPD22	164360
19p13.3	Combined oxidative phosphorylation deficiency 37	AR	3	618329	MICOS13, C19orf70, MIC13, QIL1	616658
19p13.11	Combined oxidative phosphorylation deficiency 23	AR	3	616198	GTPBP3, MSS1, COXPD23	608536
20q11.22	Combined oxidative phosphorylation deficiency 52	AR	3	619386	NFS1, NIFS, COXPD52	603485
22q12.3	?Combined oxidative phosphorylation deficiency 29	AR	3	616811	TXN2, TRX2, MTRX, COXPD29	609063
Xq26.1	Combined oxidative phosphorylation deficiency 6	XLR	3	300816	AIFM1, PDCD8, AIF, COXPD6, COWCK, CMTX4, DFNX5, SEMDHL	300169




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



