HGNC:21197	MONDO:0012866|MONDO:0017999
HGNC:21143	MONDO:0000133|MONDO:0013553
HGNC:21144	MONDO:0011142|MONDO:0014236
HGNC:21176	MONDO:0013969
HGNC:21157	MONDO:0018053|MONDO:0014619
HGNC:21158	MONDO:0013357
HGNC:21150	MONDO:0014553
HGNC:21219	MONDO:0009696|MONDO:0012980
HGNC:21205	MONDO:0020846
HGNC:21208	MONDO:0054636
HGNC:21253	MONDO:0019588|MONDO:0012460
HGNC:21237	MONDO:0015448|MONDO:0014356
HGNC:21244	MONDO:0021548|MONDO:0008925|MONDO:0018610
HGNC:21246	MONDO:0014011|MONDO:0019306
HGNC:21296	MONDO:0019588|MONDO:0033198
HGNC:21297	MONDO:0018631
HGNC:21285	MONDO:0016352
HGNC:21304	MONDO:0100095
HGNC:21307	MONDO:0008009|MONDO:0011932|MONDO:0018914
HGNC:21308	MONDO:0014417
HGNC:21316	MONDO:0007846
HGNC:21317	MONDO:0015799|MONDO:0009130|MONDO:0011814
HGNC:21350	MONDO:0009503
HGNC:21365	MONDO:0018337
HGNC:21396	MONDO:0010155
HGNC:21390	MONDO:0010180
HGNC:21424	MONDO:0015229
HGNC:21406	MONDO:0012683
HGNC:21497	MONDO:0012624
HGNC:21493	MONDO:0016575|MONDO:0014203
HGNC:21474	MONDO:0018772|MONDO:0008944|MONDO:0008996|MONDO:0012423|MONDO:0016364
HGNC:21478	MONDO:0017400
HGNC:21484	MONDO:0014520
HGNC:21528	MONDO:0019587|MONDO:0013593
HGNC:21575	MONDO:0019200|MONDO:0018772|MONDO:0012078|MONDO:0016364
HGNC:21576	MONDO:0009697
HGNC:21558	MONDO:0016575|MONDO:0012978
HGNC:21555	MONDO:0019200|MONDO:0011272
HGNC:9255	MONDO:0008148|MONDO:0008147|MONDO:0009805|MONDO:0009804
HGNC:9251	MONDO:0009737
HGNC:9236	MONDO:0019182|MONDO:0011448|MONDO:0018883
HGNC:9291	MONDO:0005148
HGNC:9279	MONDO:0012120
HGNC:9280	MONDO:0008297
HGNC:9277	MONDO:0044318|MONDO:0016419
HGNC:9282	MONDO:0054588|MONDO:0011899
HGNC:9302	MONDO:0014605
HGNC:9303	MONDO:0008903
HGNC:9299	MONDO:0032697
HGNC:9330	MONDO:0010653|MONDO:0019767|MONDO:0019766|MONDO:0019769|MONDO:0019768
HGNC:9305	MONDO:0011439
HGNC:9325	MONDO:0009744
HGNC:9314	MONDO:0015802|MONDO:0020630|MONDO:0032642|MONDO:0018614
HGNC:9312	MONDO:0014602
HGNC:9343	MONDO:0017884
HGNC:21652	MONDO:0009817|MONDO:0010866
HGNC:21653	MONDO:0019200|MONDO:0012367
HGNC:21637	MONDO:0012864
HGNC:21638	MONDO:0030031
HGNC:21645	MONDO:0014742
HGNC:21641	MONDO:0019516|MONDO:0013218
HGNC:21642	MONDO:0014397
HGNC:21698	MONDO:0008935
HGNC:21699	MONDO:0019200|MONDO:0012024
HGNC:21679	MONDO:0012530
HGNC:21675	MONDO:0029148|MONDO:0017173
HGNC:21684	MONDO:0044715|MONDO:0032836
HGNC:9386	MONDO:0008685|MONDO:0009867|MONDO:0010946
HGNC:9388	MONDO:0015285|MONDO:0015999|MONDO:0019797|MONDO:0007044|MONDO:0008057|MONDO:0009719|MONDO:0012509|MONDO:0017240
HGNC:9380	MONDO:0030876|MONDO:0014359
HGNC:9382	MONDO:0014518
HGNC:9352	MONDO:0010184
HGNC:9381	MONDO:0030877
HGNC:9350	MONDO:0024266|MONDO:0018758
HGNC:9349	MONDO:0009242|MONDO:0013605
HGNC:21686	MONDO:0013058
HGNC:9360	MONDO:0015541|MONDO:0011337|MONDO:0011508|MONDO:0012197|MONDO:0018316
HGNC:9359	MONDO:0019588
HGNC:21610	MONDO:0060761
HGNC:9399	MONDO:0017979|MONDO:0015517|MONDO:0013743|MONDO:0014253
HGNC:9390	MONDO:0018475
HGNC:9394	MONDO:0015746
HGNC:21606	MONDO:0013877
HGNC:9411	MONDO:0000447|MONDO:0008265
HGNC:9413	MONDO:0014423
HGNC:9407	MONDO:0044303|MONDO:0017167
HGNC:9414	MONDO:0019625|MONDO:0014187
HGNC:9402	MONDO:0011540
HGNC:9451	MONDO:0008316|MONDO:0012860|MONDO:0019145
HGNC:9453	MONDO:0009400
HGNC:9454	MONDO:0015993|MONDO:0019200|MONDO:0019353|MONDO:0011370|MONDO:0011957|MONDO:0012983|MONDO:0012796
HGNC:9455	MONDO:0013099|MONDO:0009878|MONDO:0016411|MONDO:0019591
HGNC:9456	MONDO:0019144|MONDO:0012868|MONDO:0013791
HGNC:9457	MONDO:0009945|MONDO:0015005
