Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
group_G5_1_0	GO:0016236	macroautophagy	21/50	306/18800	6.12501774978307e-25	1.32851634992795e-21	8.149497300764e-22	BAG3/OPTN/BECN1/TSC1/MFN2/ATG2A/ATG13/RAB7A/PSEN1/RB1CC1/ZFYVE1/MAP1LC3A/MCOLN1/MAPK3/SRC/AMBRA1/HTRA2/NPC1/VPS16/ATG14/ATG12	21
group_G5_1_0	GO:0007033	vacuole organization	16/50	188/18800	1.91450948686595e-20	2.07628553850613e-17	1.27365262705188e-17	BAG3/TFEB/BECN1/MFN2/ATG2A/ATG13/RAB7A/PSEN1/RB1CC1/MAP1LC3A/AMBRA1/VPS16/VPS11/ATG14/AP3B1/ATG12	16
group_G5_1_0	GO:0061912	selective autophagy	12/50	76/18800	8.23858977878791e-19	5.95650041006366e-16	3.65388683522383e-16	BAG3/OPTN/BECN1/MFN2/ATG2A/ATG13/RAB7A/RB1CC1/MAPK3/AMBRA1/HTRA2/ATG14	12
group_G5_1_0	GO:0000422	autophagy of mitochondrion	12/50	88/18800	5.33282762022846e-18	2.31338062165511e-15	1.41909349725659e-15	OPTN/BECN1/MFN2/ATG2A/ATG13/RB1CC1/MAP1LC3A/AMBRA1/HTRA2/MUL1/ATG14/ATG12	12
group_G5_1_0	GO:0061726	mitochondrion disassembly	12/50	88/18800	5.33282762022846e-18	2.31338062165511e-15	1.41909349725659e-15	OPTN/BECN1/MFN2/ATG2A/ATG13/RB1CC1/MAP1LC3A/AMBRA1/HTRA2/MUL1/ATG14/ATG12	12
group_G5_1_0	GO:0010506	regulation of autophagy	17/50	336/18800	7.46572650699234e-18	2.69886013227773e-15	1.65555759734006e-15	BAG3/TFEB/OPTN/BECN1/TSC1/ATG2A/PRKAA1/PIK3CB/PIM2/MAPK3/STK11/AMBRA1/HTRA2/NPC1/DRAM1/ATG14/ATG12	17
group_G5_1_0	GO:0000045	autophagosome assembly	12/50	107/18800	6.21133118720797e-17	1.92462533500773e-14	1.18061994295201e-14	BAG3/BECN1/MFN2/ATG2A/ATG13/RAB7A/PSEN1/RB1CC1/MAP1LC3A/AMBRA1/ATG14/ATG12	12
group_G5_1_0	GO:1905037	autophagosome organization	12/50	111/18800	9.80817161086605e-17	2.65924052799606e-14	1.63125380475456e-14	BAG3/BECN1/MFN2/ATG2A/ATG13/RAB7A/PSEN1/RB1CC1/MAP1LC3A/AMBRA1/ATG14/ATG12	12
group_G5_1_0	GO:1903008	organelle disassembly	12/50	121/18800	2.85665239236292e-16	6.88453226559464e-14	4.22316798122425e-14	OPTN/BECN1/MFN2/ATG2A/ATG13/RB1CC1/MAP1LC3A/AMBRA1/HTRA2/MUL1/ATG14/ATG12	12
group_G5_1_0	GO:0010508	positive regulation of autophagy	12/50	136/18800	1.20358579866942e-15	2.61057759731396e-13	1.60140257844015e-13	BAG3/TFEB/OPTN/BECN1/TSC1/ATG2A/PRKAA1/PIK3CB/PIM2/MAPK3/STK11/AMBRA1	12
group_G5_1_0	GO:0098780	response to mitochondrial depolarisation	7/50	19/18800	2.98669120315287e-14	5.88921201785325e-12	3.61261022084711e-12	OPTN/BECN1/MFN2/AMBRA1/HTRA2/MUL1/ATG14	7
group_G5_1_0	GO:0000423	mitophagy	7/50	34/18800	3.09424894358361e-12	5.59285496552738e-10	3.43081637253481e-10	OPTN/BECN1/MFN2/ATG13/AMBRA1/HTRA2/ATG14	7
group_G5_1_0	GO:0031331	positive regulation of cellular catabolic process	14/50	449/18800	6.87501575506762e-12	1.14706993636474e-09	7.03645337198824e-10	BAG3/TFEB/OPTN/BECN1/TSC1/ATG2A/PRKAA1/PSEN1/PIK3CB/PIM2/MAPK3/STK11/AMBRA1/VPS11	14
group_G5_1_0	GO:0022411	cellular component disassembly	14/50	460/18800	9.50323173943855e-12	1.46828954270144e-09	9.00690583569735e-10	OPTN/BECN1/MFN2/ATG2A/ATG13/RB1CC1/MAP1LC3A/MCOLN1/AMBRA1/HTRA2/VPS16/MUL1/ATG14/ATG12	14
group_G5_1_0	GO:0016241	regulation of macroautophagy	10/50	158/18800	1.0154146215086e-11	1.46828954270144e-09	9.00690583569735e-10	BAG3/OPTN/BECN1/TSC1/ATG2A/MAPK3/AMBRA1/NPC1/ATG14/ATG12	10
group_G5_1_0	GO:0006839	mitochondrial transport	10/50	182/18800	4.14419287176632e-11	5.61797146178822e-09	3.44622354599515e-09	BAG3/MFN2/PRKAA1/PMAIP1/ATG13/PSEN1/HTRA2/VPS11/MUL1/BCL2L1	10
group_G5_1_0	GO:0031667	response to nutrient levels	13/50	446/18800	1.01221940559734e-10	1.29147287690625e-08	7.92226209705907e-09	TFEB/BECN1/TSC1/PRKAA1/PMAIP1/ZFYVE1/MAP1LC3A/MAPK3/MAPK14/SRC/STAT1/SIRT5/ATG14	13
group_G5_1_0	GO:0009991	response to extracellular stimulus	13/50	479/18800	2.43726988467942e-10	2.9369102110387e-08	1.80158428902619e-08	TFEB/BECN1/TSC1/PRKAA1/PMAIP1/ZFYVE1/MAP1LC3A/MAPK3/MAPK14/SRC/STAT1/SIRT5/ATG14	13
group_G5_1_0	GO:0009615	response to virus	12/50	392/18800	3.3947009416638e-10	3.87531912761515e-08	2.37723101953631e-08	BECN1/RELA/PMAIP1/PIM2/MAPK14/SRC/STAT1/NFKB1/IKBKB/MUL1/BCL2L1/ATG12	12
group_G5_1_0	GO:0071496	cellular response to external stimulus	11/50	309/18800	4.18247953573944e-10	4.53589905650942e-08	2.78244954377613e-08	BAG3/TFEB/BECN1/TSC1/PRKAA1/PMAIP1/ZFYVE1/MAP1LC3A/MAPK3/NFKB1/ATG14	11
group_G5_1_0	GO:0016239	positive regulation of macroautophagy	7/50	73/18800	8.66663066776848e-10	8.80013639047142e-08	5.39825405719632e-08	BAG3/OPTN/BECN1/TSC1/ATG2A/MAPK3/AMBRA1	7
group_G5_1_0	GO:0032386	regulation of intracellular transport	11/50	332/18800	8.92591058507936e-10	8.80013639047142e-08	5.39825405719632e-08	BAG3/HRAS/PRKAA1/ATG13/PSEN1/MAPK3/MAPK14/SRC/STK11/HTRA2/VPS11	11
group_G5_1_0	GO:0045022	early endosome to late endosome transport	6/50	42/18800	1.26554426220674e-09	1.19346326292453e-07	7.32104323766281e-08	BECN1/RAB7A/MAPK3/SRC/VPS11/ATG14	6
group_G5_1_0	GO:0098927	vesicle-mediated transport between endosomal compartments	6/50	45/18800	1.95318551927378e-09	1.76519141304368e-07	1.08281863875529e-07	BECN1/RAB7A/MAPK3/SRC/VPS11/ATG14	6
group_G5_1_0	GO:0032388	positive regulation of intracellular transport	9/50	198/18800	2.29294855727836e-09	1.9893621682947e-07	1.22033135848415e-07	BAG3/HRAS/PRKAA1/ATG13/PSEN1/MAPK14/STK11/HTRA2/VPS11	9
group_G5_1_0	GO:0031669	cellular response to nutrient levels	9/50	213/18800	4.35179392921954e-09	3.63040039710661e-07	2.22699090143057e-07	TFEB/BECN1/TSC1/PRKAA1/PMAIP1/ZFYVE1/MAP1LC3A/MAPK3/ATG14	9
group_G5_1_0	GO:0097352	autophagosome maturation	6/50	55/18800	6.81345097868751e-09	5.4734722862123e-07	3.35758364017973e-07	BECN1/MAP1LC3A/MCOLN1/VPS16/ATG14/ATG12	6
group_G5_1_0	GO:0090316	positive regulation of intracellular protein transport	8/50	156/18800	7.49884269999404e-09	5.80892493438824e-07	3.56335983939567e-07	BAG3/HRAS/PRKAA1/ATG13/PSEN1/MAPK14/HTRA2/VPS11	8
group_G5_1_0	GO:0009267	cellular response to starvation	8/50	160/18800	9.15174496985722e-09	6.8448740826277e-07	4.19884052337551e-07	TFEB/BECN1/PRKAA1/PMAIP1/ZFYVE1/MAP1LC3A/MAPK3/ATG14	8
group_G5_1_0	GO:0006979	response to oxidative stress	11/50	433/18800	1.41894742109455e-08	1.02589898545136e-06	6.29315628162637e-07	BECN1/TSC1/RELA/PRKAA1/PSEN1/MAP1LC3A/MAPK3/SRC/STAT1/HTRA2/EPAS1	11
group_G5_1_0	GO:0031668	cellular response to extracellular stimulus	9/50	245/18800	1.47263538620421e-08	1.03036972666998e-06	6.32058108034677e-07	TFEB/BECN1/TSC1/PRKAA1/PMAIP1/ZFYVE1/MAP1LC3A/MAPK3/ATG14	9
group_G5_1_0	GO:0072655	establishment of protein localization to mitochondrion	7/50	120/18800	2.87939765264624e-08	1.95169172143428e-06	1.19722323452133e-06	BAG3/MFN2/PRKAA1/ATG13/HTRA2/VPS11/AP3B1	7
group_G5_1_0	GO:0070585	protein localization to mitochondrion	7/50	125/18800	3.82116673104497e-08	2.51154867867774e-06	1.5406554220226e-06	BAG3/MFN2/PRKAA1/ATG13/HTRA2/VPS11/AP3B1	7
group_G5_1_0	GO:1904923	regulation of autophagy of mitochondrion in response to mitochondrial depolarization	4/50	14/18800	4.34446883100713e-08	2.76658813710318e-06	1.69710388260339e-06	OPTN/MFN2/HTRA2/MUL1	4
group_G5_1_0	GO:0042594	response to starvation	8/50	196/18800	4.4642962101711e-08	2.76658813710318e-06	1.69710388260339e-06	TFEB/BECN1/PRKAA1/PMAIP1/ZFYVE1/MAP1LC3A/MAPK3/ATG14	8
