Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
group_G5_1_0	GO:0005776	autophagosome	11/50	112/19594	3.99067295816626e-15	7.66209207967921e-13	3.99067295816626e-13	OPTN/BECN1/RAB7A/RB1CC1/ZFYVE1/MAP1LC3A/AMBRA1/VPS16/VPS11/ATG14/ATG12	11
group_G5_1_0	GO:0000407	phagophore assembly site	8/50	33/19594	1.32078250119254e-14	1.26795120114484e-12	6.6039125059627e-13	BECN1/ATG2A/ATG13/RAB7A/RB1CC1/ZFYVE1/ATG14/ATG12	8
group_G5_1_0	GO:0005774	vacuolar membrane	14/50	449/19594	3.9778371634141e-12	2.54581578458502e-10	1.32594572113803e-10	TFEB/RAB5C/RAB7A/PSEN1/RB1CC1/MAP1LC3A/MCOLN1/STX7/NPC1/VPS16/VPS11/DRAM1/ATG14/AP3B1	14
group_G5_1_0	GO:0034045	phagophore assembly site membrane	5/50	17/19594	5.32640109883699e-10	2.55667252744176e-08	1.33160027470925e-08	ATG2A/RAB7A/RB1CC1/ATG14/ATG12	5
group_G5_1_0	GO:0005765	lysosomal membrane	11/50	404/19594	4.5373235625884e-09	1.45194354002829e-07	7.56220593764734e-08	TFEB/RAB5C/RAB7A/PSEN1/MCOLN1/STX7/NPC1/VPS16/VPS11/DRAM1/AP3B1	11
group_G5_1_0	GO:0098852	lytic vacuole membrane	11/50	404/19594	4.5373235625884e-09	1.45194354002829e-07	7.56220593764734e-08	TFEB/RAB5C/RAB7A/PSEN1/MCOLN1/STX7/NPC1/VPS16/VPS11/DRAM1/AP3B1	11
group_G5_1_0	GO:0005770	late endosome	9/50	283/19594	3.59426252795283e-08	9.85854864809919e-07	5.13466075421833e-07	RAB7A/MAP1LC3A/MCOLN1/MAPK3/SRC/STX7/NPC1/VPS16/VPS11	9
group_G5_1_0	GO:0019898	extrinsic component of membrane	9/50	314/19594	8.74732322547902e-08	2.09935757411497e-06	1.09341540318488e-06	BECN1/ATG2A/ATG13/RAB7A/PIK3CB/RB1CC1/ZFYVE1/SRC/ATG14	9
group_G5_1_0	GO:0061695	transferase complex, transferring phosphorus-containing groups	8/50	259/19594	2.7794871769077e-07	5.92957264406976e-06	3.088319085453e-06	BECN1/PRKAA1/ATG13/PIK3CB/RB1CC1/STK11/IKBKB/ATG14	8
group_G5_1_0	GO:0030139	endocytic vesicle	8/50	342/19594	2.24997251138137e-06	4.31994722185224e-05	2.24997251138137e-05	BECN1/RAB5C/RAB7A/MCOLN1/STX7/VPS11/ATG14/ATG12	8
group_G5_1_0	GO:0005811	lipid droplet	5/50	100/19594	5.52814306853889e-06	9.64912244690424e-05	5.02558460776262e-05	TSC1/RAB5C/ATG2A/RAB7A/ZFYVE1	5
group_G5_1_0	GO:0000421	autophagosome membrane	4/50	51/19594	8.5815243705822e-06	0.000137304389929315	7.1512703088185e-05	RAB7A/RB1CC1/MAP1LC3A/ATG14	4
group_G5_1_0	GO:1902911	protein kinase complex	5/50	115/19594	1.09504120452344e-05	0.000161729162514231	8.42339388094951e-05	PRKAA1/ATG13/RB1CC1/STK11/IKBKB	5
group_G5_1_0	GO:0045335	phagocytic vesicle	5/50	138/19594	2.64651952164261e-05	0.000334392908563041	0.000174162973209917	BECN1/RAB7A/MCOLN1/ATG14/ATG12	5
group_G5_1_0	GO:0031968	organelle outer membrane	6/50	232/19594	2.65545847624915e-05	0.000334392908563041	0.000174162973209917	MFN2/PMAIP1/PSEN1/AMBRA1/MUL1/BCL2L1	6
group_G5_1_0	GO:0019867	outer membrane	6/50	234/19594	2.78660757135867e-05	0.000334392908563041	0.000174162973209917	MFN2/PMAIP1/PSEN1/AMBRA1/MUL1/BCL2L1	6
group_G5_1_0	GO:0031902	late endosome membrane	5/50	152/19594	4.20560623382454e-05	0.000474986115820184	0.000247388601989679	RAB7A/MCOLN1/NPC1/VPS16/VPS11	5
group_G5_1_0	GO:0005942	phosphatidylinositol 3-kinase complex	3/50	29/19594	5.452027697276e-05	0.000581549621042774	0.000302890427626445	BECN1/PIK3CB/ATG14	3
group_G5_1_0	GO:1902554	serine/threonine protein kinase complex	4/50	99/19594	0.000118140427702028	0.00119384011151523	0.000621791724747518	ATG13/RB1CC1/STK11/IKBKB	4
group_G5_1_0	GO:0044232	organelle membrane contact site	3/50	41/19594	0.000155662850366367	0.00149436336351713	0.000778314251831837	ATG2A/ZFYVE1/ATG14	3
