Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
group_G5_1_0	C0007786	Brain Ischemia	12/50	358/21671	2.3752266736143e-11	6.30708932991125e-08	3.34096609039841e-08	BECN1/CEBPB/SGK1/MFN2/RELA/PIK3CB/MAPK3/MAPK14/SRC/NFKB1/BCL2L1/EPAS1	12
group_G5_1_0	C0003130	Anoxia	11/50	287/21671	4.28907808902499e-11	6.30708932991125e-08	3.34096609039841e-08	SGK1/PRKAA1/PMAIP1/PSEN1/MAPK3/MAPK14/SRC/STAT1/NFKB1/BCL2L1/EPAS1	11
group_G5_1_0	C0333516	Tumor necrosis	11/50	350/21671	3.54903267613043e-10	3.47923503349986e-07	1.84300644234142e-07	TFE3/BECN1/RELA/PRKAA1/PSEN1/PIK3CB/STK11/STAT1/NFKB1/NPC1/IKBKB	11
group_G5_1_0	C3714514	Infection	12/50	491/21671	8.89790928738419e-10	4.79013456271447e-07	2.53741088881956e-07	BAG3/HRAS/CEBPB/RELA/PMAIP1/MAP1LC3A/MAPK3/MAPK14/RICTOR/STAT1/NFKB1/BCL2L1	12
group_G5_1_0	C0008479	Chondrosarcoma	11/50	385/21671	9.69105214147685e-10	4.79013456271447e-07	2.53741088881956e-07	BAG3/TFEB/BECN1/PRKAA1/PIK3CB/MAPK3/MAPK14/SRC/BCL2L1/EPAS1/ATG12	11
group_G5_1_0	C0041341	Tuberous Sclerosis	10/50	289/21671	9.77246085558885e-10	4.79013456271447e-07	2.53741088881956e-07	HRAS/TSC1/PRKAA1/PIK3CB/MAPK3/MAPK14/STK11/NFKB1/NPC1/IKBKB	10
group_G5_1_0	C0026918	Mycobacterium Infections	8/50	183/21671	8.79677997597676e-09	3.69590427276395e-06	1.95777960367603e-06	TFEB/OPTN/PIK3CB/MAPK14/STK11/STAT1/IKBKB/DRAM1	8
group_G5_1_0	C1854465	TUBEROUS SCLEROSIS 1 (disorder)	5/50	32/21671	1.02274166222959e-08	3.75985403577151e-06	1.99165481592077e-06	TSC1/PRKAA1/PSEN1/PIK3CB/STK11	5
group_G5_1_0	C0008370	Cholestasis	10/50	420/21671	3.4554697720979e-08	1.12917073330444e-05	5.98139796807589e-06	HRAS/RELA/PRKAA1/PIK3CB/MAPK3/MAPK14/STK11/STAT1/NPC1/EPAS1	10
group_G5_1_0	C0235950	Zinc deficiency	6/50	90/21671	5.94499515318623e-08	1.74842307455207e-05	9.26167665970065e-06	RELA/MAPK3/MAPK14/STAT1/NFKB1/NPC1	6
