Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
group_G5_1_0	DOID:13515	tuberous sclerosis	4/36	25/8007	4.07088308799692e-06	0.00114233233273441	0.000755828911884419	TSC1/STK11/NFKB1/IKBKB	4
group_G5_1_0	DOID:0050736	autosomal dominant disease	10/36	409/8007	8.31526430620747e-06	0.00114233233273441	0.000755828911884419	HRAS/SGK1/TSC1/RELA/MAPK3/SRC/STK11/STAT1/NFKB1/IKBKB	10
group_G5_1_0	DOID:3443	mammary Paget's disease	4/36	33/8007	1.28354384041389e-05	0.00114233233273441	0.000755828911884419	OPTN/RELA/MAPK3/MAPK14	4
group_G5_1_0	DOID:0060100	musculoskeletal system cancer	10/36	439/8007	1.55098994190103e-05	0.00114233233273441	0.000755828911884419	TFE3/HRAS/CEBPB/YY1/RELA/MAPK3/MAPK14/SRC/NFKB1/BCL2L1	10
group_G5_1_0	DOID:1116	pertussis	4/36	35/8007	1.63190333247772e-05	0.00114233233273441	0.000755828911884419	RELA/PSEN1/MAPK3/STAT1	4
group_G5_1_0	DOID:120	female reproductive organ cancer	10/36	455/8007	2.11979423263774e-05	0.00123654663570535	0.000818166195053164	HRAS/BECN1/CEBPB/RELA/MAPK3/MAPK14/SRC/STK11/NFKB1/EPAS1	10
group_G5_1_0	DOID:0050339	commensal bacterial infectious disease	4/36	40/8007	2.80313216226262e-05	0.00140156608113131	0.000927351993530491	RELA/PSEN1/MAPK3/STAT1	4
group_G5_1_0	DOID:3458	breast adenocarcinoma	4/36	45/8007	4.4974661773564e-05	0.00190266697189907	0.00125890747012871	OPTN/RELA/MAPK3/MAPK14	4
group_G5_1_0	DOID:1036	chronic leukemia	7/36	223/8007	4.95871975127558e-05	0.00190266697189907	0.00125890747012871	RELA/PRKAA1/PMAIP1/MAPK3/STAT1/NFKB1/BCL2L1	7
group_G5_1_0	DOID:1508	candidiasis	3/36	17/8007	5.43619134828306e-05	0.00190266697189907	0.00125890747012871	MAPK14/STAT1/NFKB1	3
group_G5_1_0	DOID:4450	renal cell carcinoma	8/36	342/8007	0.000108049551559306	0.003437940276887	0.00227472740124854	TFE3/RELA/MAPK3/STAT1/NFKB1/HTRA2/BCL2L1/EPAS1	8
group_G5_1_0	DOID:8398	osteoarthritis	6/36	187/8007	0.000162735013942699	0.00474643790666205	0.00314050026906962	MAPK3/MAPK14/NFKB1/IKBKB/BCL2L1/EPAS1	6
group_G5_1_0	DOID:201	connective tissue cancer	8/36	370/8007	0.000186614137328868	0.0048580363108723	0.0032143398147125	CEBPB/YY1/RELA/MAPK3/MAPK14/SRC/NFKB1/BCL2L1	8
group_G5_1_0	DOID:4451	renal carcinoma	8/36	380/8007	0.000224180539764141	0.0048580363108723	0.0032143398147125	TFE3/RELA/MAPK3/STAT1/NFKB1/HTRA2/BCL2L1/EPAS1	8
group_G5_1_0	DOID:2151	malignant ovarian surface epithelial-stromal neoplasm	7/36	286/8007	0.00023596176367094	0.0048580363108723	0.0032143398147125	HRAS/BECN1/RELA/MAPK3/MAPK14/SRC/NFKB1	7
group_G5_1_0	DOID:2152	ovary epithelial cancer	7/36	286/8007	0.00023596176367094	0.0048580363108723	0.0032143398147125	HRAS/BECN1/RELA/MAPK3/MAPK14/SRC/NFKB1	7
group_G5_1_0	DOID:4001	ovarian carcinoma	7/36	286/8007	0.00023596176367094	0.0048580363108723	0.0032143398147125	HRAS/BECN1/RELA/MAPK3/MAPK14/SRC/NFKB1	7
group_G5_1_0	DOID:850	lung disease	9/36	499/8007	0.00027258960983838	0.00530035352463517	0.00350700082833003	SGK1/YY1/TSC1/RELA/MAPK14/STAT1/NFKB1/IKBKB/BCL2L1	9
group_G5_1_0	DOID:3347	osteosarcoma	6/36	215/8007	0.000346946589840854	0.0063911213918052	0.00422871189833728	YY1/RELA/MAPK3/MAPK14/NFKB1/BCL2L1	6
group_G5_1_0	DOID:2394	ovarian cancer	7/36	312/8007	0.000401430355060935	0.00702503121356637	0.00464814095333714	HRAS/BECN1/RELA/MAPK3/MAPK14/SRC/NFKB1	7
group_G5_1_0	DOID:4043	skeletal muscle cancer	4/36	83/8007	0.000491229129984579	0.00747896744965309	0.00494848974112385	TFE3/HRAS/NFKB1/BCL2L1	4
group_G5_1_0	DOID:3908	non-small cell lung carcinoma	8/36	431/8007	0.000526101108916625	0.00747896744965309	0.00494848974112385	HRAS/RELA/MAPK3/SRC/STK11/NFKB1/BCL2L1/EPAS1	8
group_G5_1_0	DOID:5158	pleural cancer	3/36	36/8007	0.000538261585447341	0.00747896744965309	0.00494848974112385	RELA/MAPK3/SRC	3
group_G5_1_0	DOID:7474	malignant pleural mesothelioma	3/36	36/8007	0.000538261585447341	0.00747896744965309	0.00494848974112385	RELA/MAPK3/SRC	3
group_G5_1_0	DOID:1542	head and neck carcinoma	6/36	235/8007	0.00055780585086858	0.00747896744965309	0.00494848974112385	RELA/SRC/STK11/STAT1/NFKB1/EPAS1	6
group_G5_1_0	DOID:3856	male reproductive organ cancer	8/36	435/8007	0.000559572713287168	0.00747896744965309	0.00494848974112385	HRAS/CEBPB/RELA/MAPK3/SRC/NFKB1/IKBKB/BCL2L1	8
group_G5_1_0	DOID:263	kidney cancer	8/36	437/8007	0.000576948917544667	0.00747896744965309	0.00494848974112385	TFE3/RELA/MAPK3/STAT1/NFKB1/HTRA2/BCL2L1/EPAS1	8
group_G5_1_0	DOID:11934	head and neck cancer	6/36	239/8007	0.000609954127665785	0.00762442659582231	0.0050447333867095	RELA/SRC/STK11/STAT1/NFKB1/EPAS1	6
group_G5_1_0	DOID:184	bone cancer	6/36	243/8007	0.000665832589103055	0.00796380880613768	0.00526928702962493	YY1/RELA/MAPK3/MAPK14/NFKB1/BCL2L1	6
group_G5_1_0	DOID:2473	opportunistic mycosis	3/36	39/8007	0.00068261218338323	0.00796380880613768	0.00526928702962493	MAPK14/STAT1/NFKB1	3
group_G5_1_0	DOID:5157	benign pleural mesothelioma	3/36	41/8007	0.000791322398189001	0.00893428514084356	0.00591140670973108	RELA/MAPK3/SRC	3
group_G5_1_0	DOID:0050136	systemic mycosis	3/36	42/8007	0.000849569324120184	0.00929216448256451	0.00614819905613291	MAPK14/STAT1/NFKB1	3
group_G5_1_1	DOID:447	renal tubular transport disease	2/6	20/8007	8.83860481383878e-05	0.0014141767702142	0.000930379454088293	ATP6V1B1/ATP6V0A4	2
group_G5_2_3	DOID:3211	lysosomal storage disease	5/5	150/8007	2.15974653545239e-09	5.18339168508573e-08	3.1827843680351e-08	CTNS/CHIT1/SGSH/NPC2/GNS	5
