Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
group_G5_1_0	hsa04140	Autophagy - animal	18/45	141/8158	7.22397224191493e-21	1.2569711700932e-18	3.04167252291155e-19	HRAS/BECN1/TSC1/ATG4A/ATG2A/PRKAA1/ATG13/RAB7A/PIK3CB/RB1CC1/ZFYVE1/MAP1LC3A/MAPK3/STK11/AMBRA1/BCL2L1/ATG14/ATG12	18
group_G5_1_0	hsa04137	Mitophagy - animal	12/45	72/8158	1.9598942837172e-15	1.70510802683396e-13	4.12609322887832e-14	TFEB/TFE3/HRAS/OPTN/BECN1/MFN2/RELA/RAB7A/MAP1LC3A/SRC/AMBRA1/BCL2L1	12
group_G5_1_0	hsa05022	Pathways of neurodegeneration - multiple diseases	18/45	476/8158	1.76934743675988e-11	1.02622151332073e-09	2.48329464808404e-10	HRAS/OPTN/BECN1/MFN2/RELA/ATG2A/ATG13/PSEN1/RB1CC1/ZFYVE1/MAP1LC3A/MAPK3/MAPK14/AMBRA1/NFKB1/HTRA2/BCL2L1/ATG14	18
group_G5_1_0	hsa05167	Kaposi sarcoma-associated herpesvirus infection	12/45	194/8158	3.36957270101098e-10	1.46576412493977e-08	3.54691863264313e-09	HRAS/BECN1/RELA/PIK3CB/MAP1LC3A/MAPK3/MAPK14/SRC/STAT1/NFKB1/IKBKB/ATG14	12
group_G5_1_0	hsa04211	Longevity regulating pathway	9/45	89/8158	9.31842634107836e-10	3.24281236669527e-08	7.84709586617125e-09	HRAS/TSC1/RELA/PRKAA1/ATG13/PIK3CB/RB1CC1/STK11/NFKB1	9
group_G5_1_0	hsa04917	Prolactin signaling pathway	8/45	70/8158	3.26444314828881e-09	9.42786418631275e-08	2.28139484242293e-08	HRAS/RELA/PIK3CB/MAPK3/MAPK14/SRC/STAT1/NFKB1	8
group_G5_1_0	hsa04625	C-type lectin receptor signaling pathway	9/45	104/8158	3.79281892552812e-09	9.42786418631275e-08	2.28139484242293e-08	HRAS/RELA/PIK3CB/MAPK3/MAPK14/SRC/STAT1/NFKB1/IKBKB	9
group_G5_1_0	hsa05131	Shigellosis	12/45	247/8158	5.38647206408455e-09	1.17155767393839e-07	2.8349852968866e-08	BECN1/RELA/PIK3CB/MAP1LC3A/MAPK3/MAPK14/SRC/NFKB1/IKBKB/BCL2L1/ATG14/ATG12	12
group_G5_1_0	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	8/45	89/8158	2.26087370009702e-08	4.37102248685424e-07	1.05771869010387e-07	HRAS/RELA/PIK3CB/MAPK3/MAPK14/STAT1/NFKB1/IKBKB	8
group_G5_1_0	hsa04068	FoxO signaling pathway	9/45	131/8158	2.92835302353116e-08	5.09533426094421e-07	1.23299074674996e-07	HRAS/SGK1/PRKAA1/PIK3CB/MAPK3/MAPK14/STK11/IKBKB/ATG12	9
group_G5_1_0	hsa04210	Apoptosis	9/45	136/8158	4.06340115112221e-08	6.22498173338261e-07	1.50634766688024e-07	HRAS/RELA/PMAIP1/PIK3CB/MAPK3/NFKB1/HTRA2/IKBKB/BCL2L1	9
group_G5_1_0	hsa04621	NOD-like receptor signaling pathway	10/45	184/8158	4.29309085060869e-08	6.22498173338261e-07	1.50634766688024e-07	MFN2/RELA/MAP1LC3A/MAPK3/MAPK14/STAT1/NFKB1/IKBKB/BCL2L1/ATG12	10
group_G5_1_0	hsa05221	Acute myeloid leukemia	7/45	67/8158	6.48663292754981e-08	8.65151063121189e-07	2.09352949333621e-07	HRAS/RELA/PIK3CB/PIM2/MAPK3/NFKB1/IKBKB	7
group_G5_1_0	hsa05132	Salmonella infection	11/45	249/8158	6.9609855653429e-08	8.65151063121189e-07	2.09352949333621e-07	HRAS/RAB5C/RELA/RAB7A/PIK3CB/MAPK3/MAPK14/NFKB1/VPS16/VPS11/IKBKB	11
group_G5_1_0	hsa05010	Alzheimer disease	13/45	384/8158	8.4070137947018e-08	9.75213600185408e-07	2.3598635213198e-07	HRAS/BECN1/RELA/ATG2A/ATG13/PSEN1/PIK3CB/RB1CC1/MAPK3/AMBRA1/NFKB1/IKBKB/ATG14	13
group_G5_1_0	hsa04150	mTOR signaling pathway	9/45	156/8158	1.33526790435573e-07	1.45210384598685e-06	3.51386290619928e-07	HRAS/SGK1/TSC1/PRKAA1/PIK3CB/MAPK3/RICTOR/STK11/IKBKB	9
group_G5_1_0	hsa05212	Pancreatic cancer	7/45	76/8158	1.57160516533155e-07	1.51921832648716e-06	3.67626939258842e-07	RELA/PIK3CB/MAPK3/STAT1/NFKB1/IKBKB/BCL2L1	7
group_G5_1_0	hsa05220	Chronic myeloid leukemia	7/45	76/8158	1.57160516533155e-07	1.51921832648716e-06	3.67626939258842e-07	HRAS/RELA/PIK3CB/MAPK3/NFKB1/IKBKB/BCL2L1	7
group_G5_1_0	hsa05161	Hepatitis B	9/45	162/8158	1.84689918592411e-07	1.69137083342524e-06	4.09285138154928e-07	HRAS/RELA/PIK3CB/MAPK3/MAPK14/SRC/STAT1/NFKB1/IKBKB	9
group_G5_1_0	hsa04722	Neurotrophin signaling pathway	8/45	119/8158	2.2222496467357e-07	1.93335719266006e-06	4.67842030891727e-07	HRAS/RELA/PSEN1/PIK3CB/MAPK3/MAPK14/NFKB1/IKBKB	8
group_G5_1_0	hsa05152	Tuberculosis	9/45	180/8158	4.53684005095243e-07	3.75909604221773e-06	9.09642115479184e-07	CEBPB/RAB5C/RELA/RAB7A/MAPK3/MAPK14/SRC/STAT1/NFKB1	9
group_G5_1_0	hsa04136	Autophagy - other	5/45	32/8158	7.32415136122162e-07	5.79273789478437e-06	1.40175145669313e-06	BECN1/ATG4A/ATG2A/ATG13/ATG12	5
group_G5_1_0	hsa04933	AGE-RAGE signaling pathway in diabetic complications	7/45	100/8158	1.04287670637593e-06	7.88958899606135e-06	1.90915644187812e-06	HRAS/RELA/PIK3CB/MAPK3/MAPK14/STAT1/NFKB1	7
group_G5_1_0	hsa04620	Toll-like receptor signaling pathway	7/45	104/8158	1.36145149112985e-06	9.47570237826375e-06	2.29297093242922e-06	RELA/PIK3CB/MAPK3/MAPK14/STAT1/NFKB1/IKBKB	7
group_G5_1_0	hsa04660	T cell receptor signaling pathway	7/45	104/8158	1.36145149112985e-06	9.47570237826375e-06	2.29297093242922e-06	HRAS/RELA/PIK3CB/MAPK3/MAPK14/NFKB1/IKBKB	7
group_G5_1_0	hsa05417	Lipid and atherosclerosis	9/45	215/8158	2.01590479205259e-06	1.34910551468135e-05	3.26462314502443e-06	HRAS/RELA/PIK3CB/MAPK3/MAPK14/SRC/NFKB1/IKBKB/BCL2L1	9
group_G5_1_0	hsa04668	TNF signaling pathway	7/45	112/8158	2.24678854360857e-06	1.39621859495676e-05	3.37862938888507e-06	CEBPB/RELA/PIK3CB/MAPK3/MAPK14/NFKB1/IKBKB	7
group_G5_1_0	hsa05145	Toxoplasmosis	7/45	112/8158	2.24678854360857e-06	1.39621859495676e-05	3.37862938888507e-06	RELA/MAPK3/MAPK14/STAT1/NFKB1/IKBKB/BCL2L1	7
group_G5_1_0	hsa04151	PI3K-Akt signaling pathway	11/45	354/8158	2.36347392641273e-06	1.41808435584764e-05	3.43154109098036e-06	HRAS/SGK1/TSC1/RELA/PRKAA1/PIK3CB/MAPK3/STK11/NFKB1/IKBKB/BCL2L1	11
group_G5_1_0	hsa05163	Human cytomegalovirus infection	9/45	225/8158	2.93719740724408e-06	1.70357449620157e-05	4.12238232595661e-06	HRAS/TSC1/RELA/PIK3CB/MAPK3/MAPK14/SRC/NFKB1/IKBKB	9
group_G5_1_0	hsa04662	B cell receptor signaling pathway	6/45	82/8158	5.10585101033345e-06	2.86586476063877e-05	6.93494194951912e-06	HRAS/RELA/PIK3CB/MAPK3/NFKB1/IKBKB	6
group_G5_1_0	hsa04380	Osteoclast differentiation	7/45	128/8158	5.48954692239323e-06	2.98494113905132e-05	7.22308805578057e-06	RELA/PIK3CB/MAPK3/MAPK14/STAT1/NFKB1/IKBKB	7
group_G5_1_0	hsa04926	Relaxin signaling pathway	7/45	129/8158	5.78072777947202e-06	3.04802010190343e-05	7.37572922420672e-06	HRAS/RELA/PIK3CB/MAPK3/MAPK14/SRC/NFKB1	7
group_G5_1_0	hsa04062	Chemokine signaling pathway	8/45	192/8158	8.31361333025565e-06	4.25461388077789e-05	1.02954963842175e-05	HRAS/RELA/PIK3CB/MAPK3/SRC/STAT1/NFKB1/IKBKB	8
group_G5_1_0	hsa05135	Yersinia infection	7/45	137/8158	8.60782595087003e-06	4.27931918700396e-05	1.03552793393925e-05	RELA/PIK3CB/MAPK3/MAPK14/SRC/NFKB1/IKBKB	7
group_G5_1_0	hsa05418	Fluid shear stress and atherosclerosis	7/45	139/8158	9.4705064754949e-06	4.57741146315587e-05	1.10766157608128e-05	RELA/PRKAA1/PIK3CB/MAPK14/SRC/NFKB1/IKBKB	7
group_G5_1_0	hsa04658	Th1 and Th2 cell differentiation	6/45	92/8158	9.97836684349305e-06	4.69252927234538e-05	1.13551827521969e-05	RELA/MAPK3/MAPK14/STAT1/NFKB1/IKBKB	6
group_G5_1_0	hsa04657	IL-17 signaling pathway	6/45	94/8158	1.13004006821932e-05	5.0916863847526e-05	1.23210801808895e-05	CEBPB/RELA/MAPK3/MAPK14/NFKB1/IKBKB	6
group_G5_1_0	hsa05017	Spinocerebellar ataxia	7/45	143/8158	1.14124005175489e-05	5.0916863847526e-05	1.23210801808895e-05	BECN1/ATG2A/ATG13/PIK3CB/RB1CC1/AMBRA1/ATG14	7
group_G5_1_0	hsa05215	Prostate cancer	6/45	97/8158	1.35464213897158e-05	5.89269330452636e-05	1.42593909365429e-05	HRAS/RELA/PIK3CB/MAPK3/NFKB1/IKBKB	6
group_G5_1_0	hsa04370	VEGF signaling pathway	5/45	59/8158	1.63028477182516e-05	6.91876951945312e-05	1.67423339853675e-05	HRAS/PIK3CB/MAPK3/MAPK14/SRC	5
group_G5_1_0	hsa05170	Human immunodeficiency virus 1 infection	8/45	212/8158	1.71669684197423e-05	7.11202977389324e-05	1.72099934032504e-05	HRAS/RELA/PIK3CB/MAPK3/MAPK14/NFKB1/IKBKB/BCL2L1	8
group_G5_1_0	hsa05142	Chagas disease	6/45	102/8158	1.80832686221476e-05	7.31741567500858e-05	1.77069949788471e-05	RELA/PIK3CB/MAPK3/MAPK14/NFKB1/IKBKB	6
group_G5_1_0	hsa04218	Cellular senescence	7/45	156/8158	2.01448453232635e-05	7.96637065056328e-05	1.92773639457067e-05	HRAS/TSC1/RELA/PIK3CB/MAPK3/MAPK14/NFKB1	7
group_G5_1_0	hsa05160	Hepatitis C	7/45	157/8158	2.09984251503767e-05	8.11939105814565e-05	1.96476492635103e-05	HRAS/RELA/PIK3CB/MAPK3/STAT1/NFKB1/IKBKB	7
group_G5_1_0	hsa05014	Amyotrophic lateral sclerosis	10/45	364/8158	2.17471784037275e-05	8.22610661358389e-05	1.99058841224051e-05	OPTN/BECN1/ATG2A/ATG13/RB1CC1/MAP1LC3A/MAPK14/AMBRA1/BCL2L1/ATG14	10
group_G5_1_0	hsa05208	Chemical carcinogenesis - reactive oxygen species	8/45	223/8158	2.47628869051333e-05	9.08821397386242e-05	2.19920483336054e-05	HRAS/RELA/PIK3CB/MAPK3/MAPK14/SRC/NFKB1/IKBKB	8
group_G5_1_0	hsa04659	Th17 cell differentiation	6/45	108/8158	2.50709351003101e-05	9.08821397386242e-05	2.19920483336054e-05	RELA/MAPK3/MAPK14/STAT1/NFKB1/IKBKB	6
group_G5_1_0	hsa04215	Apoptosis - multiple species	4/45	32/8158	2.59548394776905e-05	9.21661646758804e-05	2.23027621720219e-05	BECN1/PMAIP1/HTRA2/BCL2L1	4
