Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
group_G5_1_0	GO:0044389	ubiquitin-like protein ligase binding	8/50	317/18410	2.02508403446447e-06	0.0003989415547895	0.000260063423373332	BECN1/CEBPB/MFN2/RELA/MAP1LC3A/AMBRA1/STAT1/MUL1	8
group_G5_1_0	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	3/50	20/18410	2.0800747796842e-05	0.0016090042403463	0.00104888334128906	CEBPB/RELA/STAT1	3
group_G5_1_0	GO:0004712	protein serine/threonine/tyrosine kinase activity	8/50	446/18410	2.45026026448674e-05	0.0016090042403463	0.00104888334128906	SGK1/PRKAA1/PIM2/MAPK3/MAPK14/SRC/STK11/IKBKB	8
group_G5_1_0	GO:0106310	protein serine kinase activity	7/50	360/18410	4.99716866776319e-05	0.00246110556887337	0.00160435415122923	SGK1/PRKAA1/PIM2/MAPK3/MAPK14/STK11/IKBKB	7
group_G5_1_0	GO:0031625	ubiquitin protein ligase binding	6/50	298/18410	0.000149362958350985	0.0038025195825278	0.00247879983472291	BECN1/MFN2/RELA/MAP1LC3A/AMBRA1/MUL1	6
group_G5_1_0	GO:0004674	protein serine/threonine kinase activity	7/50	430/18410	0.000151542947877423	0.0038025195825278	0.00247879983472291	SGK1/PRKAA1/PIM2/MAPK3/MAPK14/STK11/IKBKB	7
group_G5_1_0	GO:0001223	transcription coactivator binding	3/50	40/18410	0.000173507841775104	0.0038025195825278	0.00247879983472291	RELA/STAT1/EPAS1	3
group_G5_1_0	GO:0003925	G protein activity	3/50	40/18410	0.000173507841775104	0.0038025195825278	0.00247879983472291	HRAS/RAB5C/RAB7A	3
group_G5_1_0	GO:0019902	phosphatase binding	5/50	193/18410	0.000173719168744925	0.0038025195825278	0.00247879983472291	MAPK3/MAPK14/AMBRA1/STAT1/AP3B1	5
group_G5_1_0	GO:0001046	core promoter sequence-specific DNA binding	3/50	42/18410	0.00020083733495328	0.00395649549857963	0.00257917419624213	CEBPB/RELA/STAT1	3
group_G5_1_0	GO:0140297	DNA-binding transcription factor binding	7/50	470/18410	0.000261229226622703	0.00467837796769749	0.00304975747827461	CEBPB/YY1/RELA/MAPK14/SRC/STAT1/EPAS1	7
group_G5_1_0	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	6/50	348/18410	0.000344382104598882	0.00565360621716497	0.00368549269833891	CEBPB/RELA/MAPK14/SRC/STAT1/EPAS1	6
group_G5_1_0	GO:0060090	molecular adaptor activity	6/50	379/18410	0.000541160046906486	0.00820065609542906	0.00534587252814505	OPTN/YKT6/RB1CC1/AMBRA1/STX7/VPS11	6
group_G5_1_0	GO:0019903	protein phosphatase binding	4/50	148/18410	0.000692984397323789	0.00974616418127614	0.00635336377299326	MAPK14/AMBRA1/STAT1/AP3B1	4
group_G5_1_0	GO:0004707	MAP kinase activity	2/50	15/18410	0.000742093719386508	0.00974616418127614	0.00635336377299326	MAPK3/MAPK14	2
group_G5_1_1	GO:0015078	proton transmembrane transporter activity	7/10	120/18410	4.9446805534826e-14	1.38451055497513e-12	5.72541958824301e-13	SLC11A2/ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1B1/ATP6V0A4/ATP6V1G1	7
group_G5_1_1	GO:0042625	ATPase-coupled ion transmembrane transporter activity	4/10	15/18410	5.97369956216022e-11	4.18158969351215e-10	1.72922882062533e-10	ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	4
group_G5_1_1	GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	4/10	15/18410	5.97369956216022e-11	4.18158969351215e-10	1.72922882062533e-10	ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	4
group_G5_1_1	GO:0046961	proton-transporting ATPase activity, rotational mechanism	4/10	15/18410	5.97369956216022e-11	4.18158969351215e-10	1.72922882062533e-10	ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	4
group_G5_1_1	GO:0009678	pyrophosphate hydrolysis-driven proton transmembrane transporter activity	4/10	18/18410	1.33811116765883e-10	7.49342253888944e-10	3.0987837566836e-10	ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	4
group_G5_1_1	GO:0019829	ATPase-coupled cation transmembrane transporter activity	4/10	44/18410	5.89611636660228e-09	2.75152097108106e-08	1.13784701811623e-08	ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	4
group_G5_1_1	GO:0042626	ATPase-coupled transmembrane transporter activity	4/10	90/18410	1.09653999421793e-07	4.00679825633895e-07	1.65694664735821e-07	ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	4
group_G5_1_1	GO:0022853	active ion transmembrane transporter activity	5/10	254/18410	1.14479950181113e-07	4.00679825633895e-07	1.65694664735821e-07	SLC11A2/ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	5
group_G5_1_1	GO:0022804	active transmembrane transporter activity	5/10	404/18410	1.14270693362826e-06	3.2599903455039e-06	1.34811630829109e-06	SLC11A2/ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	5
group_G5_1_1	GO:0015399	primary active transmembrane transporter activity	4/10	162/18410	1.16428226625139e-06	3.2599903455039e-06	1.34811630829109e-06	ATP6V1F/ATP6V1G3/ATP6V0D1/ATP6V1G1	4
group_G5_1_1	GO:0051117	ATPase binding	3/10	82/18410	9.99270796344703e-06	2.54359839069561e-05	1.05186399615232e-05	ATP6V1G3/ATP6V0A4/ATP6V1G1	3
group_G5_1_2	GO:0016798	hydrolase activity, acting on glycosyl bonds	5/9	144/18410	3.35510526444109e-09	9.72980526687917e-08	4.23802770245191e-08	NEU4/CLN5/MAN2B1/GBA/GM2A	5
group_G5_1_2	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	4/9	94/18410	7.87459146129671e-08	1.14181576188802e-06	4.97342618608213e-07	NEU4/MAN2B1/GBA/GM2A	4
group_G5_2_1	GO:0042625	ATPase-coupled ion transmembrane transporter activity	6/13	15/18410	1.58493085290106e-16	1.53209982447103e-15	7.785625242321e-16	ATP6V0E2/ATP6V1C2/ATP6V0D1/ATP6V1B2/ATP6V1E1/ATP6V1G1	6
group_G5_2_1	GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	6/13	15/18410	1.58493085290106e-16	1.53209982447103e-15	7.785625242321e-16	ATP6V0E2/ATP6V1C2/ATP6V0D1/ATP6V1B2/ATP6V1E1/ATP6V1G1	6
group_G5_2_1	GO:0046961	proton-transporting ATPase activity, rotational mechanism	6/13	15/18410	1.58493085290106e-16	1.53209982447103e-15	7.785625242321e-16	ATP6V0E2/ATP6V1C2/ATP6V0D1/ATP6V1B2/ATP6V1E1/ATP6V1G1	6
