Phenotypic Series  - PS249500
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Intellectual developmental disorder, autosomal recessive - PS249500 - 65 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p36.32	Intellectual developmental disorder, autosomal recessive 77	AR	3	619988	CEP104, GLYBP, KIAA0562, JBTS25, MRT77	616690
1p34.1	Intellectual developmental disorder, autosomal recessive 12	AR	3	611090	ST3GAL3, SIAT6, ST3GALII, MRT12, DEE15	606494
1p21.1-p13.3	Intellectual developmental disorder, autosomal recessive 4	AR	2	611107	MRT4	611107
1p13.3	Intellectual developmental disorder, autosomal recessive 60	AR	3	617432	TAF13, TAF2K, MRT60	600774
1p13.3	Intellectual developmental disorder, autosomal recessive 48	AR	3	616269	SLC6A17, NTT4, MRT48	610299
1q24.3	Glycosylphosphatidylinositol biosynthesis defect 16	AR	3	617816	PIGC, GPI2, GPIBD16, MRT62	601730
1q32.1	Intellectual developmental disorder, autosomal recessive 65	AR	3	618109	KDM5B, JARID1B, PUT1, PLU1, RBBP2H1A, MRT65	605393
1q43	Intellectual developmental disorder, autosomal recessive 47	AR	3	616193	FMN2, MRT47	606373
2q11.2	?Intellectual developmental disorder, autosomal recessive 52	AR	3	616887	LMAN2L, VIPL, MRT52, MRD69	609552
2q22.1	Intellectual developmental disorder, autosomal recessive 51	AR	3	616739	HNMT, MRT51	605238
2q31.1	Intellectual developmental disorder, autosomal recessive 72	AR	3	618665	METTL5, HSPC133, MRT72	618628
3p26.2	Intellectual developmental disorder, autosomal recessive 2	AR	3	607417	CRBN, MRT2	609262
3q12.3	Intellectual developmental disorder, autosomal recessive 69	AR	3	618383	ZBTB11, MRT69	618181
3q25.32	Intellectual developmental disorder, autosomal recessive 70	AR	3	618402	RSRC1, SRRP53, MRT70	613352
3q26.2-q26.31	Intellectual developmental disorder, autosomal recessive 54	AR	3	617028	TNIK, KIAA0551, MRT54	610005
4q12-q13.1	Intellectual developmental disorder, autosomal recessive 31	AR	2	614329	MRT31	614329
4q26	Intellectual developmental disorder, autosomal recessive 1	AR	3	249500	PRSS12, BSSP3, MRT1	606709
4q27-q28.2	Intellectual developmental disorder, autosomal recessive 29	AR	2	614333	MRT29	614333
5p15.31	Intellectual developmental disorder, autosomal recessive 5	AR	3	611091	NSUN2, TRM4, SAKI, MISU, MRT5	610916
5q32	?Intellectual developmental disorder, autosomal recessive 63	AR	3	618095	CAMK2A, KIAA0968, CAMKA, MRD53, MRT63	114078
5q33.1	Intellectual developmental disorder, autosomal recessive 46	AR	3	616116	NDST1, HSST, MRT46	600853
5q33.2	?Intellectual developmental disorder, autosomal recessive 76	AR	3	619931	GRIA1, GLUR1, MRD67, MRT76	138248
6p12.2-q12	Intellectual developmental disorder, autosomal recessive 24	AR	2	614345	MRT24	614345
6q12-q15	Intellectual developmental disorder, autosomal recessive 30	AR	2	614342	MRT30	614342
6q16.3	Intellectual developmental disorder, autosomal recessive 6	AR	3	611092	GRIK2, GLUR6, MRT6, NEDLAS	138244
6q23.2	Intellectual developmental disorder, autosomal recessive 18, with or without epilepsy	AR	3	614249	MED23, MRT18	605042
6q26-q27	Intellectual developmental disorder, autosomal recessive 28	AR	2	614347	MRT28	614347
8p22	Intellectual developmental disorder, autosomal recessive 7	AR	3	611093	TUSC3, M33, D8S1992, MRT7, MRT22	601385
8p12	Intellectual developmental disorder, autosomal recessive 39	AR	3	615541	TTI2, C8orf41, MRT39	614426
8q21.13	Intellectual developmental disorder, autosomal recessive 59	AR	3	617323	IMPA1, MRT59	602064
8q24.12	Intellectual developmental disorder, autosomal recessive 40	AR	3	615599	TAF2, TAF2B, TAFII150, CIF150, MRT40	604912
8q24.3	Intellectual developmental disorder, autosomal recessive 13	AR	3	613192	TRAPPC9, NIBP, KIAA1882, MRT13	611966
9p23-p13.3	Intellectual developmental disorder, autosomal recessive 16	AR	2	614208	MRT16	614208
9p13.3	Intellectual developmental disorder, autosomal recessive 61	AR	3	617773	RUSC2, KIAA0375, IPORIN, MRT61	611053
9q34.3	Rafiq syndrome	AR	3	614202	MAN1B1, MRT15	604346
10q21.2	Intellectual developmental disorder, autosomal recessive 37	AR	3	615493	ANK3, MRT37	600465
11p15.5	Intellectual developmental disorder, autosomal recessive 75, with neuropsychiatric features and variant lissencephaly	AR	3	619827	PIDD1, LRDD, MRT75	605247
11p15.4	Intellectual developmental disorder, autosomal recessive 67	AR	3	618295	EIF3F, EIF3S5, MRT67	603914
11p13-q14.1	Intellectual developmental disorder, autosomal recessive 23	AR	2	614344	MRT23	614344
11q22.3	Intellectual developmental disorder, autosomal recessive 71	AR	3	618504	ALKBH8, ABH8, MRT71	613306
12p13.32	Intellectual developmental disorder, autosomal recessive 66	AR	3	618221	C12orf4, MRT66	616082
12q13.11-q15	Intellectual developmental disorder, autosomal recessive 25	AR	2	614346	MRT25	614346
12q22	Intellectual developmental disorder, autosomal recessive 34, with variant lissencephaly	AR	3	614499	CRADD, RAIDD, MRT34	603454
12q23.3	Intellectual developmental disorder, autosomal recessive 43	AR	3	615817	WASHC4, KIAA1033, SWIP, MRT43	615748
14q11.2-q12	Intellectual developmental disorder, autosomal recessive 9/26	AR	2	611095	MRT9, MRT26	611095
14q31.3	Intellectual developmental disorder, autosomal recessive 56	AR	3	617125	ZC3H14, SUT2, MRT56	613279
15q13.1	Intellectual developmental disorder, autosomal recessive 38	AR	3	615516	HERC2, SHEP1, MRT38	605837
15q24.1	?Intellectual developmental disorder, autosomal recessive 50	AR	3	616460	EDC3, YJDC, MRT50	609842
15q24.3	Intellectual developmental disorder, autosomal recessive 64	AR	3	618103	LINGO1, LRRN6A, LERN1, MRT64	609791
15q26.3	Intellectual developmental disorder, autosomal recessive 27	AR	3	614340	LINS1, WINS1, FLJ10583, MRT27	610350
16p12.2-q12.1	Intellectual developmental disorder, autosomal recessive 10/20	AR	2	611096	MRT10, MRT20	611096
16q24.2	?Intellectual developmental disorder, autosomal recessive 45	AR	3	615979	FBXO31, FBX31, FBXO14, FBX14, MRT45	609102
17p13.2-p13.1	Intellectual developmental disorder, autosomal recessive 33	AR	2	614341	MRT33	614341
17q21.31-q22	Intellectual developmental disorder, autosomal recessive 35	AR	2	615162	MRT35	615162
17q25.1	Intellectual developmental disorder, autosomal recessive 44	AR	3	615942	METTL23, C17orf95, MRT44	615262
18q12.2	Intellectual developmental disorder, autosomal recessive 58	AR	3	617270	ELP2, STATIP1, MRT58	616054
19p13.3	Intellectual developmental disorder, autosomal recessive 74	AR	3	617169	APC2, APCL, MRT74	612034
19p13.3	Neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies	AR	3	615286	ADAT3, TAD3, NEDBGF	615302
19p13.13	Intellectual developmental disorder, autosomal recessive 68	AR	3	618302	TRMT1, TRM1, MRT68	611669
