Phenotypic Series  - PS300755
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Immunodeficiency (Select Examples) - PS300755 - 117 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
1p36.33	Immunodeficiency 38	AR	3	616126	ISG15, G1P2, IFI15, IMD38	147571
1p36.33	?Immunodeficiency 16	AR	3	615593	TNFRSF4, TXGP1L, OX40, ACT35, IMD16	600315
1p36.22	Immunodeficiency 14B, autosomal recessive	AR	3	619281	PIK3CD, APDS, IMD14A, IMD14B, ROCHIS	602839
1p36.22	Immunodeficiency 14A, autosomal dominant	AD	3	615513	PIK3CD, APDS, IMD14A, IMD14B, ROCHIS	602839
1p35.2	?Immunodeficiency 22	AR	3	615758	LCK, IMD22	153390
1p34.2	Immunodeficiency 24	AR	3	615897	CTPS1, CTPS, IMD24	123860
1p22.3	?Immunodeficiency 37	AR	3	616098	BCL10, IMD37	603517
1q21.3	Immunodeficiency 42	AR	3	616622	RORC, RORG, RZRG, IMD42	602943
1q23.3	Immunodeficiency 20	AR	3	615707	FCGR3A, CD16, IGFR3, IMD20	146740
1q24.2	?Immunodeficiency 25	AR	3	610163	CD247, CD3Z, TCRZ, IMD25	186780
1q25.3	Immunodeficiency 70	AD	3	618969	IVNS1ABP, NS1BP, ND1, IMD70	609209
1q31.3-q32.1	Immunodeficiency 105, severe combined	AR	3	619924	PTPRC, CD45, LCA, IMD105	151460
2p16.1	Immunodeficiency 92	AR	3	619652	REL, IMD92	164910
2q11.2	Immunodeficiency 48	AR	3	269840	ZAP70, SRK, ADMIO2, IMD48	176947
2q24.2	Immunodeficiency 95	AR	3	619773	IFIH1, MDA5, AGS7, SGMRT1, IMD95	606951
2q32.2	Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant	AD	3	614162	STAT1, CANDF7, IMD31A, IMD31B, IMD31C	600555
2q32.2	Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive	AR	3	613796	STAT1, CANDF7, IMD31A, IMD31B, IMD31C	600555
2q32.2	Immunodeficiency 31A, mycobacteriosis, autosomal dominant	AD	3	614892	STAT1, CANDF7, IMD31A, IMD31B, IMD31C	600555
3p22.2	Immunodeficiency 68	AR	3	612260	MYD88, MYD88D, IMD68	602170
3q21.3	Immunodeficiency 21	AD	3	614172	GATA2, DCML, MONOMAC, IMD21	137295
3q29	Immunodeficiency 46	AR	3	616740	TFRC, TFR, CD71, IMD46	190010
4q24	Immunodeficiency 75	AR	3	619126	TET2, KIAA1546, MDS, IMD75	612839
4q35.1	{Immunodeficiency 83, susceptibility to viral infections}	AD, AR	3	613002	TLR3, IMD83	603029
5p15.2	{Immunodeficiency 107, susceptibility to invasive staphylococcus aureus infection}	AD	3	619986	OTULIN, FAM105B, GUM, AIPDS, IMD107	615712
5p13.2	Immunodeficiency 104, severe combined	AR	3	608971	IL7R, IL7RA, CD127, IMD104	146661
5q11.2	?Immunodeficiency 94 with autoinflammation and dysmorphic facies	AD	3	619750	IL6ST, HIES4A, HIES4B, STWS2, IMD94	600694
5q13.1	Immunodeficiency 36	AD	3	616005	PIK3R1, GRB1, AGM7, SHORT, IMD36	171833
5q31.1	Immunodeficiency 93 and hypertrophic cardiomyopathy	AR	3	619705	FNIP1, KIAA1961, IMD93	610594
5q33.3	Immunodeficiency 29, mycobacteriosis	AR	3	614890	IL12B, NKSF2, IMD29	161561
5q35.1	Immunodeficiency 40	AR	3	616433	DOCK2, IMD40	603122
5q35.1	?Immunodeficiency 81	AR	3	619374	LCP2, SLP76, IMD81	601603
6p25.2	Immunodeficiency 57 with autoinflammation	AR	3	618108	RIPK1, RIP1, RIP, IMD57, AIEFL	603453
6p21.31	Immunodeficiency 87 and autoimmunity	AR	3	619573	DEF6, IBP, SLAT, IMD87	610094
6q14.1	Immunodeficiency 23	AR	3	615816	PGM3, AGM1, IMD23	172100
6q15	Immunodeficiency 60 and autoimmunity	AD	3	618394	BACH2, IMD60	605394
6q23.3	Immunodeficiency 27B, mycobacteriosis, AD	AD	3	615978	IFNGR1, IMD27A, IMD27B	107470
6q23.3	Immunodeficiency 27A, mycobacteriosis, AR	AR	3	209950	IFNGR1, IMD27A, IMD27B	107470
7p22.2	Immunodeficiency 11A	AR	3	615206	CARD11, CARMA1, BIMP3, PPBL, BENTA, IMD11A	607210
7p22.2	Immunodeficiency 11B with atopic dermatitis	AD	3	617638	CARD11, CARMA1, BIMP3, PPBL, BENTA, IMD11A	607210
7q22.1	Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia	AR	3	617718	ARPC1B, ARC41, IMD71	604223
7q22.3	Immunodeficiency 97 with autoinflammation	AR	3	619802	PIK3CG, IMD97	601232
8p11.21	Immunodeficiency 15B	AR	3	615592	IKBKB, NFKBIKB, IMD15B, IMD15A	603258
8p11.21	Immunodeficiency 15A	AD	3	618204	IKBKB, NFKBIKB, IMD15B, IMD15A	603258
8q11.21	Immunodeficiency 26, with or without neurologic abnormalities	AR	3	615966	PRKDC, HYRC1, DNPK1, IMD26	600899
8q11.21	Immunodeficiency 54	AR	3	609981	MCM4, NKGCD, NKCD, IMD54	602638
9q22.2	Immunodeficiency 82 with systemic inflammation	AD	3	619381	SYK, IMD82	600085
9q34.3	Immunodeficiency 103, susceptibility to fungal infection	AR	3	212050	CARD9, CANDF2, IMD103	607212
10p15.1	Immunodeficiency 41 with lymphoproliferation and autoimmunity	AR	3	606367	IL2RA, CD25, IL2R, IDDM10, IMD41	147730
10p13	Immunodeficiency 80 with or without cardiomyopathy	AR	3	619313	MCM10, CNA43, IMD80	609357
11p15.5	?Immunodeficiency 39	AR	3	616345	IRF7, IRF7A, IRF7B, IRF7C, IRF7H, IMD39	605047
11p15.4	Immunodeficiency 10	AR	3	612783	STIM1, TAM1, IMD10, STRMK	605921
11q12.1	Immunodeficiency 77	AD	3	619223	MPEG1, MPG1, IMD77	610390
11q13.3	Immunodeficiency 90 with encephalopathy, functional hyposplenia, and hepatic dysfunction	AR	3	613759	FADD, IMD90	602457
11q23.3	Immunodeficiency 18, SCID variant	AR	3	615615	CD3E, IMD18	186830
11q23.3	Immunodeficiency 18	AR	3	615615	CD3E, IMD18	186830
11q23.3	Immunodeficiency 19, severe combined	AR	3	615617	CD3D, T3D, IMD19	186790
